epoch,train_loss,global_test_acc,global_test_loss,rec_apa,rec_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,w_rn,w_rec,w_pfl,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
0,2.019064,23.860000,2.139978,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2744,2744,0,2256,2256,0.548800,1.000000
1,1.795789,30.930000,1.995784,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3284,3284,0,1716,1716,0.656800,1.000000
2,1.823128,27.120000,1.984386,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2960,2960,0,2040,2040,0.592000,1.000000
3,1.773028,37.000000,1.885183,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3028,3028,0,1972,1972,0.605600,1.000000
4,1.938694,33.640000,1.916137,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2624,2624,0,2376,2376,0.524800,1.000000
5,1.685399,29.340000,1.917980,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3128,3128,0,1872,1872,0.625600,1.000000
6,1.788237,36.970000,1.849067,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2976,2976,0,2024,2024,0.595200,1.000000
7,1.637192,35.330000,1.848083,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3188,3188,0,1812,1812,0.637600,1.000000
8,1.733909,39.320000,1.806929,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3012,3012,0,1988,1988,0.602400,1.000000
9,1.807754,38.360000,1.860669,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,2584,2584,0,2416,2416,0.516800,1.000000
