epoch,train_loss,global_test_acc,global_test_loss,rec_apa,rec_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,w_rn,w_rec,w_pfl,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
0,1.241703,20.160000,2.296891,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,4108,4108,0,892,892,0.821600,1.000000
1,1.285669,21.310000,2.170816,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3990,3990,0,1010,1010,0.798000,1.000000
2,1.199907,20.520000,2.136272,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,4056,4056,0,944,944,0.811200,1.000000
3,1.179684,23.690000,2.076865,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,4048,4048,0,952,952,0.809600,1.000000
4,1.278727,27.600000,2.092140,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3962,3962,0,1038,1038,0.792400,1.000000
5,1.412327,25.390000,2.103466,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3636,3636,0,1364,1364,0.727200,1.000000
6,1.156982,26.030000,2.051120,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,4006,4006,0,994,994,0.801200,1.000000
7,1.047922,28.000000,2.051154,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,4082,4082,0,918,918,0.816400,1.000000
8,0.928774,31.500000,1.994247,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,4386,4386,0,614,614,0.877200,1.000000
9,1.164817,26.900000,2.001710,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3876,3876,0,1124,1124,0.775200,1.000000
