epoch,train_loss,global_test_acc,global_test_loss,rec_apa,rec_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,w_rn,w_rec,w_pfl,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
0,1.867354,27.010000,2.095708,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15560,15560,0,9440,9440,0.622400,1.000000
1,1.778030,32.790000,1.975357,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15836,15836,0,9164,9164,0.633440,1.000000
2,1.823995,36.620000,1.907630,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14612,14612,0,10388,10388,0.584480,1.000000
3,1.803324,37.490000,1.886619,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14448,14448,0,10552,10552,0.577920,1.000000
4,1.785741,42.130000,1.842504,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14776,14776,0,10224,10224,0.591040,1.000000
5,1.698270,40.100000,1.809677,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15868,15868,0,9132,9132,0.634720,1.000000
6,1.743754,43.910000,1.786644,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15128,15128,0,9872,9872,0.605120,1.000000
7,1.712589,45.140000,1.781550,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15352,15352,0,9648,9648,0.614080,1.000000
8,1.705653,44.690000,1.750208,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15420,15420,0,9580,9580,0.616800,1.000000
9,1.751435,46.310000,1.763364,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14192,14192,0,10808,10808,0.567680,1.000000
10,1.727826,46.560000,1.739367,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14872,14872,0,10128,10128,0.594880,1.000000
11,1.696302,48.210000,1.737871,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14904,14904,0,10096,10096,0.596160,1.000000
