epoch,train_loss,global_test_acc,global_test_loss,rec_apa,rec_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,w_rn,w_rec,w_pfl,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
24,1.508208,36.830000,1.974411,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14924,14924,0,10076,10076,0.596960,1.000000
25,1.513118,38.240000,1.970007,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15236,15236,0,9764,9764,0.609440,1.000000
26,1.548189,38.740000,1.966002,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14680,14680,0,10320,10320,0.587200,1.000000
27,1.466663,35.360000,1.991002,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15732,15732,0,9268,9268,0.629280,1.000000
28,1.470947,39.750000,1.961172,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15304,15304,0,9696,9696,0.612160,1.000000
29,1.560850,33.760000,2.001543,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14700,14700,0,10300,10300,0.588000,1.000000
30,1.540962,38.430000,1.985091,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14480,14480,0,10520,10520,0.579200,1.000000
31,1.412329,38.710000,1.970973,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15816,15816,0,9184,9184,0.632640,1.000000
32,1.637998,34.820000,1.992278,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,13668,13668,0,11332,11332,0.546720,1.000000
33,1.613936,36.900000,1.994650,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,13876,13876,0,11124,11124,0.555040,1.000000
34,1.475783,34.720000,1.984326,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15268,15268,0,9732,9732,0.610720,1.000000
35,1.557647,35.900000,1.993264,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14476,14476,0,10524,10524,0.579040,1.000000
36,1.449851,36.560000,1.976709,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15392,15392,0,9608,9608,0.615680,1.000000
37,1.424571,37.130000,1.955409,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15728,15728,0,9272,9272,0.629120,1.000000
38,1.436680,38.410000,1.962471,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15356,15356,0,9644,9644,0.614240,1.000000
39,1.572840,36.640000,1.978212,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14032,14032,0,10968,10968,0.561280,1.000000
40,1.426370,37.690000,1.956774,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15744,15744,0,9256,9256,0.629760,1.000000
41,1.484908,35.470000,1.971582,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14796,14796,0,10204,10204,0.591840,1.000000
42,1.586502,36.260000,1.986035,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,13920,13920,0,11080,11080,0.556800,1.000000
43,1.496904,34.070000,1.987395,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14724,14724,0,10276,10276,0.588960,1.000000
44,1.501971,35.520000,1.983016,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14936,14936,0,10064,10064,0.597440,1.000000
45,1.453171,37.220000,1.971057,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15328,15328,0,9672,9672,0.613120,1.000000
46,1.486433,38.330000,1.959323,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14492,14492,0,10508,10508,0.579680,1.000000
47,1.536766,36.300000,1.980467,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14192,14192,0,10808,10808,0.567680,1.000000
48,1.449211,35.180000,1.966825,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15324,15324,0,9676,9676,0.612960,1.000000
49,1.541634,35.970000,1.984371,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14212,14212,0,10788,10788,0.568480,1.000000
50,1.408776,35.790000,1.967583,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15492,15492,0,9508,9508,0.619680,1.000000
51,1.435783,35.030000,1.959214,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15336,15336,0,9664,9664,0.613440,1.000000
52,1.507114,36.370000,1.960432,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14392,14392,0,10608,10608,0.575680,1.000000
53,1.438069,35.390000,1.964688,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14952,14952,0,10048,10048,0.598080,1.000000
54,1.412792,36.050000,1.962992,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15496,15496,0,9504,9504,0.619840,1.000000
55,1.431256,38.020000,1.944802,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15264,15264,0,9736,9736,0.610560,1.000000
56,1.551778,36.980000,1.953984,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,13876,13876,0,11124,11124,0.555040,1.000000
57,1.469434,35.280000,1.972290,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14744,14744,0,10256,10256,0.589760,1.000000
58,1.455783,36.690000,1.961655,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15160,15160,0,9840,9840,0.606400,1.000000
59,1.447590,34.020000,1.967044,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15052,15052,0,9948,9948,0.602080,1.000000
60,1.502416,35.180000,1.973807,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14616,14616,0,10384,10384,0.584640,1.000000
61,1.355501,36.060000,1.945255,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15940,15940,0,9060,9060,0.637600,1.000000
62,1.417540,36.230000,1.941175,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15280,15280,0,9720,9720,0.611200,1.000000
63,1.403885,35.880000,1.949720,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15544,15544,0,9456,9456,0.621760,1.000000
64,1.392200,38.280000,1.931345,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,15700,15700,0,9300,9300,0.628000,1.000000
65,1.453562,38.060000,1.935572,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14820,14820,0,10180,10180,0.592800,1.000000
66,1.472196,38.410000,1.935070,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14660,14660,0,10340,10340,0.586400,1.000000
67,1.493187,34.590000,1.956467,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,25000,0,25000,25000,14476,14476,0,10524,10524,0.579040,1.000000
