epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall,recover_true_clean_count,recover_false_clean_count,recover_precision
28,1.529777,33.880000,1.987116,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2968,2968,0,2032,2032,0.593600,1.000000,0,0,0.000000
29,1.410559,29.250000,2.029355,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3264,3264,0,1736,1736,0.652800,1.000000,0,0,0.000000
30,1.255870,23.940000,2.039436,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3504,3504,0,1496,1496,0.700800,1.000000,0,0,0.000000
31,1.465205,29.770000,2.005568,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3148,3148,0,1852,1852,0.629600,1.000000,0,0,0.000000
32,1.652272,31.810000,1.987434,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2788,2788,0,2212,2212,0.557600,1.000000,0,0,0.000000
33,1.681280,29.830000,2.033999,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2796,2796,0,2204,2204,0.559200,1.000000,0,0,0.000000
34,1.265058,32.510000,1.997828,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3496,3496,0,1504,1504,0.699200,1.000000,0,0,0.000000
35,1.554361,30.580000,2.003290,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2908,2908,0,2092,2092,0.581600,1.000000,0,0,0.000000
36,1.290039,19.210000,2.099973,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3428,3428,0,1572,1572,0.685600,1.000000,0,0,0.000000
37,1.424092,30.030000,1.988780,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3196,3196,0,1804,1804,0.639200,1.000000,0,0,0.000000
38,1.864275,32.850000,2.019007,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2148,2148,0,2852,2852,0.429600,1.000000,0,0,0.000000
39,1.486745,28.440000,2.050643,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3172,3172,0,1828,1828,0.634400,1.000000,0,0,0.000000
