epoch,train_acc,train_loss,test_acc,test_loss,local_train_loss,selected_clients,total_count,actual_round_clean_count,actual_round_noisy_count,fedrn_clean_count,fedrn_noisy_count,train_count,actual_train_clean_count,actual_train_noisy_count,missed_clean_count,false_clean_count,correctly_excluded_noisy_count,actual_round_clean_ratio,fedrn_clean_ratio,fedrn_noisy_ratio,actual_train_clean_ratio,clean_recall,train_ratio
0,14.100000,2.349272,16.540000,2.304368,1.592704,10,5000,3216,1784,5000,0,5000,3216,1784,0,1784,0,0.643200,1.000000,0.000000,0.643200,1.000000,1.000000
1,14.696000,2.303321,19.210000,2.234343,1.620433,10,5000,2980,2020,5000,0,5000,2980,2020,0,2020,0,0.596000,1.000000,0.000000,0.596000,1.000000,1.000000
2,12.860000,2.366787,14.060000,2.296548,1.435735,10,5000,3112,1888,5000,0,5000,3112,1888,0,1888,0,0.622400,1.000000,0.000000,0.622400,1.000000,1.000000
3,17.120000,2.271888,22.570000,2.173599,1.578766,10,5000,3096,1904,5000,0,5000,3096,1904,0,1904,0,0.619200,1.000000,0.000000,0.619200,1.000000,1.000000
4,18.168000,2.284912,25.010000,2.197605,1.658970,10,5000,2924,2076,5000,0,5000,2924,2076,0,2076,0,0.584800,1.000000,0.000000,0.584800,1.000000,1.000000
5,17.028000,2.268218,23.080000,2.179445,1.904491,10,5000,2272,2728,5000,0,5000,2272,2728,0,2728,0,0.454400,1.000000,0.000000,0.454400,1.000000,1.000000
6,17.430000,2.268983,25.160000,2.145367,1.594737,10,5000,3012,1988,5000,0,5000,3012,1988,0,1988,0,0.602400,1.000000,0.000000,0.602400,1.000000,1.000000
7,17.254000,2.311151,23.190000,2.164410,1.410717,10,5000,3164,1836,5000,0,5000,3164,1836,0,1836,0,0.632800,1.000000,0.000000,0.632800,1.000000,1.000000
8,19.214000,2.244271,25.220000,2.092648,1.139243,10,5000,3772,1228,5000,0,5000,3772,1228,0,1228,0,0.754400,1.000000,0.000000,0.754400,1.000000,1.000000
9,13.516000,2.252117,15.500000,2.129091,1.543898,10,5000,2752,2248,5000,0,5000,2752,2248,0,2248,0,0.550400,1.000000,0.000000,0.550400,1.000000,1.000000
10,13.106000,2.720441,16.950000,2.458436,0.532474,10,5000,2888,2112,3065,1935,3065,2813,252,75,252,1860,0.577600,0.613000,0.387000,0.917781,0.974030,0.613000
11,13.100000,2.646052,16.250000,2.388235,0.642651,10,5000,3252,1748,3425,1575,3425,3062,363,190,363,1385,0.650400,0.685000,0.315000,0.894015,0.941574,0.685000
12,11.058000,2.985501,14.860000,2.626194,0.570271,10,5000,3024,1976,3069,1931,3069,2782,287,242,287,1689,0.604800,0.613800,0.386200,0.906484,0.919974,0.613800
13,21.772000,2.306365,32.180000,1.976718,0.483645,10,5000,2960,2040,2648,2352,2648,2475,173,485,173,1867,0.592000,0.529600,0.470400,0.934668,0.836149,0.529600
14,20.966000,2.222053,33.590000,1.879752,0.380225,10,5000,3032,1968,2851,2149,2851,2723,128,309,128,1840,0.606400,0.570200,0.429800,0.955103,0.898087,0.570200
