epoch,train_acc,train_loss,test_acc,test_loss,local_train_loss,selected_clients,total_count,actual_round_clean_count,actual_round_noisy_count,fedrn_clean_count,fedrn_noisy_count,train_count,actual_train_clean_count,actual_train_noisy_count,missed_clean_count,false_clean_count,correctly_excluded_noisy_count,actual_round_clean_ratio,fedrn_clean_ratio,fedrn_noisy_ratio,actual_train_clean_ratio,clean_recall,train_ratio
0,14.100000,2.349272,16.540000,2.304368,1.592704,10,5000,3216,1784,5000,0,5000,3216,1784,0,1784,0,0.643200,1.000000,0.000000,0.643200,1.000000,1.000000
1,14.696000,2.303321,19.210000,2.234343,1.620433,10,5000,2980,2020,5000,0,5000,2980,2020,0,2020,0,0.596000,1.000000,0.000000,0.596000,1.000000,1.000000
2,12.860000,2.366787,14.060000,2.296548,1.435735,10,5000,3112,1888,5000,0,5000,3112,1888,0,1888,0,0.622400,1.000000,0.000000,0.622400,1.000000,1.000000
3,17.120000,2.271888,22.570000,2.173599,1.578766,10,5000,3096,1904,5000,0,5000,3096,1904,0,1904,0,0.619200,1.000000,0.000000,0.619200,1.000000,1.000000
4,18.168000,2.284912,25.010000,2.197605,1.658970,10,5000,2924,2076,5000,0,5000,2924,2076,0,2076,0,0.584800,1.000000,0.000000,0.584800,1.000000,1.000000
5,17.028000,2.268218,23.080000,2.179445,1.904491,10,5000,2272,2728,5000,0,5000,2272,2728,0,2728,0,0.454400,1.000000,0.000000,0.454400,1.000000,1.000000
6,17.430000,2.268983,25.160000,2.145367,1.594737,10,5000,3012,1988,5000,0,5000,3012,1988,0,1988,0,0.602400,1.000000,0.000000,0.602400,1.000000,1.000000
7,17.254000,2.311151,23.190000,2.164410,1.410717,10,5000,3164,1836,5000,0,5000,3164,1836,0,1836,0,0.632800,1.000000,0.000000,0.632800,1.000000,1.000000
