epoch,train_acc,train_loss,test_acc,test_loss,local_train_loss,selected_clients,total_count,actual_round_clean_count,actual_round_noisy_count,fedrn_clean_count,fedrn_noisy_count,train_count,actual_train_clean_count,actual_train_noisy_count,missed_clean_count,false_clean_count,correctly_excluded_noisy_count,actual_round_clean_ratio,fedrn_clean_ratio,fedrn_noisy_ratio,actual_train_clean_ratio,clean_recall,train_ratio
0,12.538000,2.363734,13.400000,2.334974,1.806656,10,5000,3216,1784,5000,0,5000,3216,1784,0,1784,0,0.643200,1.000000,0.000000,0.643200,1.000000,1.000000
1,13.628000,2.314598,17.470000,2.259593,1.798178,10,5000,2980,2020,5000,0,5000,2980,2020,0,2020,0,0.596000,1.000000,0.000000,0.596000,1.000000,1.000000
2,12.382000,2.377379,13.300000,2.323387,1.630747,10,5000,3112,1888,5000,0,5000,3112,1888,0,1888,0,0.622400,1.000000,0.000000,0.622400,1.000000,1.000000
3,15.318000,2.289882,18.370000,2.211887,1.780840,10,5000,3096,1904,5000,0,5000,3096,1904,0,1904,0,0.619200,1.000000,0.000000,0.619200,1.000000,1.000000
4,16.222000,2.294727,23.070000,2.209776,1.826431,10,5000,2924,2076,5000,0,5000,2924,2076,0,2076,0,0.584800,1.000000,0.000000,0.584800,1.000000,1.000000
5,14.348000,2.440875,19.890000,2.304548,1.349461,10,5000,2272,2728,2470,2530,2470,1773,697,499,697,2031,0.454400,0.494000,0.506000,0.717814,0.780370,0.494000
6,15.630000,2.356692,20.480000,2.224390,1.043304,10,5000,2944,2056,3106,1894,3106,2581,525,363,525,1531,0.588800,0.621200,0.378800,0.830972,0.876698,0.621200
7,11.808000,2.356291,15.990000,2.182790,1.101205,10,5000,2984,2016,3053,1947,3053,2749,304,235,304,1712,0.596800,0.610600,0.389400,0.900426,0.921247,0.610600
8,15.426000,2.344722,23.550000,2.124396,0.934430,10,5000,3408,1592,3277,1723,3277,3108,169,300,169,1423,0.681600,0.655400,0.344600,0.948428,0.911972,0.655400
9,14.194000,2.400288,20.120000,2.193809,0.954522,10,5000,3108,1892,3187,1813,3187,2911,276,197,276,1616,0.621600,0.637400,0.362600,0.913398,0.936615,0.637400
10,14.134000,2.475518,22.120000,2.243410,1.325724,10,5000,2280,2720,2718,2282,2718,1848,870,432,870,1850,0.456000,0.543600,0.456400,0.679912,0.810526,0.543600
11,11.482000,2.751141,12.630000,2.566008,0.973335,10,5000,3392,1608,3298,1702,3298,2919,379,473,379,1229,0.678400,0.659600,0.340400,0.885082,0.860554,0.659600
12,9.876000,2.505534,13.060000,2.305608,1.125777,10,5000,3076,1924,3142,1858,3142,2609,533,467,533,1391,0.615200,0.628400,0.371600,0.830363,0.848179,0.628400
13,17.796000,2.288792,21.560000,2.121632,0.992354,10,5000,3032,1968,2810,2190,2810,2566,244,466,244,1724,0.606400,0.562000,0.438000,0.913167,0.846306,0.562000
14,17.738000,2.265798,29.510000,2.008211,0.913911,10,5000,2996,2004,3117,1883,3117,2905,212,91,212,1792,0.599200,0.623400,0.376600,0.931986,0.969626,0.623400
15,16.130000,2.471236,21.170000,2.214468,0.925624,10,5000,3060,1940,2516,2484,2516,2138,378,922,378,1562,0.612000,0.503200,0.496800,0.849762,0.698693,0.503200
16,16.876000,2.491769,24.020000,2.198899,0.922762,10,5000,2576,2424,2576,2424,2576,2351,225,225,225,2199,0.515200,0.515200,0.484800,0.912655,0.912655,0.515200
17,17.196000,2.378602,24.190000,2.144288,1.024007,10,5000,2824,2176,3244,1756,3244,2649,595,175,595,1581,0.564800,0.648800,0.351200,0.816584,0.938031,0.648800
18,18.694000,2.327914,24.860000,2.094614,0.939453,10,5000,2608,2392,2708,2292,2708,2480,228,128,228,2164,0.521600,0.541600,0.458400,0.915805,0.950920,0.541600
19,15.944000,2.423868,20.120000,2.203282,0.866784,10,5000,3308,1692,3069,1931,3069,2818,251,490,251,1441,0.661600,0.613800,0.386200,0.918214,0.851874,0.613800
