epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,net2_holdout_acc,net2_holdout_loss
112,38.670000,2.843403,0.319310,0.614200,-1,-1
113,30.690000,3.068459,0.606423,0.488800,-1,-1
114,33.110000,3.039068,1.094452,0.634200,-1,-1
115,25.670000,3.217814,0.692608,0.568800,-1,-1
116,29.420000,3.173233,0.889908,0.686000,-1,-1
117,34.640000,3.113361,0.648700,0.628800,-1,-1
118,25.220000,3.287830,0.991776,0.595600,-1,-1
119,31.300000,2.986577,0.742391,0.549200,-1,-1
120,19.790000,3.221389,0.829254,0.592800,-1,-1
121,29.740000,2.940095,1.003841,0.633000,-1,-1
122,34.400000,2.918972,0.970500,0.723200,-1,-1
123,27.120000,3.102709,1.154424,0.688600,-1,-1
124,29.630000,3.033223,1.191901,0.642200,-1,-1
125,29.080000,3.074212,1.025327,0.654400,-1,-1
126,19.700000,3.363940,1.034650,0.682800,-1,-1
127,28.270000,3.133430,1.180866,0.775400,-1,-1
128,23.110000,3.283147,1.232144,0.557200,-1,-1
129,23.800000,3.276692,1.029534,0.743000,-1,-1
130,24.660000,3.277778,1.210051,0.655200,-1,-1
131,27.050000,3.264134,1.355811,0.655200,-1,-1
132,28.450000,3.244552,1.189447,0.718000,-1,-1
133,26.260000,3.291259,1.068916,0.722800,-1,-1
134,32.380000,3.227761,0.804683,0.705200,-1,-1
135,26.650000,3.309279,1.093502,0.664000,-1,-1
136,26.360000,3.337326,0.865502,0.664600,-1,-1
137,26.430000,3.156813,0.887517,0.651400,-1,-1
138,31.330000,3.129797,1.006438,0.743600,-1,-1
139,22.400000,3.112073,0.897549,0.657000,-1,-1
140,24.480000,3.087116,1.195097,0.668000,-1,-1
141,28.540000,3.040350,1.222703,0.757200,-1,-1
142,27.220000,3.126828,0.812728,0.758600,-1,-1
143,24.770000,3.235688,0.751391,0.686600,-1,-1
144,30.160000,3.112316,0.845809,0.668600,-1,-1
145,25.270000,3.291789,0.826322,0.692800,-1,-1
146,20.380000,3.304939,0.959507,0.775800,-1,-1
147,25.640000,3.212631,1.295998,0.645200,-1,-1
148,24.810000,3.264860,1.020984,0.709200,-1,-1
149,29.760000,3.173692,1.135202,0.631800,-1,-1
150,26.600000,3.215689,1.141551,0.691600,-1,-1
151,30.550000,3.201515,1.042561,0.640400,-1,-1
152,29.460000,3.169740,1.045144,0.722600,-1,-1
153,28.660000,3.205002,0.870119,0.692200,-1,-1
154,24.200000,3.261512,0.778143,0.720400,-1,-1
155,31.520000,3.133991,1.099603,0.713000,-1,-1
156,22.530000,3.351246,0.807712,0.743000,-1,-1
157,22.470000,3.280713,0.938019,0.557600,-1,-1
158,27.640000,3.170319,0.708484,0.708800,-1,-1
159,21.940000,3.181387,1.148820,0.607000,-1,-1
160,31.570000,2.913307,1.070087,0.722200,-1,-1
161,29.100000,2.839273,0.931626,0.720600,-1,-1
162,26.830000,2.896337,1.035214,0.747200,-1,-1
163,24.770000,2.947123,0.887113,0.707600,-1,-1
164,27.780000,2.928073,1.144813,0.830800,-1,-1
165,28.230000,2.873557,1.109755,0.821000,-1,-1
166,31.020000,2.896155,1.380073,0.795400,-1,-1
167,28.010000,2.943056,0.979651,0.735000,-1,-1
168,25.710000,2.946635,1.374060,0.695600,-1,-1
169,22.700000,3.063450,0.933885,0.735000,-1,-1
170,26.230000,3.027631,0.882128,0.804600,-1,-1
171,33.440000,2.947163,1.023619,0.813200,-1,-1
172,32.810000,2.882781,1.259066,0.829000,-1,-1
173,32.130000,2.926359,1.062212,0.651800,-1,-1
174,29.660000,3.025588,0.783574,0.786600,-1,-1
175,29.380000,2.935910,1.218151,0.821400,-1,-1
176,32.450000,2.909097,1.079163,0.798600,-1,-1
177,25.210000,3.039770,0.877639,0.820600,-1,-1
178,27.620000,3.003243,1.277662,0.670400,-1,-1
179,29.370000,2.964736,1.002609,0.820400,-1,-1
180,35.660000,2.857042,0.840071,0.871400,-1,-1
181,30.160000,2.958450,0.998417,0.762800,-1,-1
182,28.690000,2.980352,1.540414,0.825000,-1,-1
183,23.710000,3.058960,1.085885,0.823800,-1,-1
184,28.970000,3.014579,1.268849,0.760600,-1,-1
185,27.340000,3.032411,0.835811,0.663200,-1,-1
186,22.700000,3.192941,0.898678,0.802600,-1,-1
187,26.400000,3.095259,1.081581,0.696800,-1,-1
