epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,net2_holdout_acc,net2_holdout_loss
0,19.780000,2.262636,1.591559,1.000000,-1,-1
1,21.320000,2.159657,1.618710,1.000000,-1,-1
2,17.750000,2.204025,1.439711,1.000000,-1,-1
3,26.360000,2.116759,1.571263,1.000000,-1,-1
4,27.090000,2.122080,1.647241,1.000000,-1,-1
5,27.970000,2.117859,1.905453,1.000000,-1,-1
6,28.100000,2.085022,1.595482,1.000000,-1,-1
7,23.900000,2.127718,1.411213,1.000000,-1,-1
8,29.010000,2.067012,1.126644,1.000000,-1,-1
9,19.470000,2.131421,1.540785,1.000000,-1,-1
10,20.190000,2.153950,1.587505,1.000000,-1,-1
11,25.680000,2.074961,1.559524,1.000000,-1,-1
12,25.710000,2.101540,1.688070,1.000000,-1,-1
13,25.370000,2.073326,1.483980,1.000000,-1,-1
14,24.850000,2.072162,1.309227,1.000000,-1,-1
15,21.250000,2.063518,1.476292,1.000000,-1,-1
16,32.470000,2.002163,1.282733,1.000000,-1,-1
17,32.730000,1.994801,1.641457,1.000000,-1,-1
18,24.650000,2.051304,1.658095,1.000000,-1,-1
19,30.330000,2.038980,1.668500,1.000000,-1,-1
20,31.570000,1.999176,1.382285,1.000000,-1,-1
21,34.970000,1.972008,1.504515,1.000000,-1,-1
22,28.240000,2.010344,1.482074,1.000000,-1,-1
23,29.930000,2.030968,1.498566,1.000000,-1,-1
24,29.860000,2.010656,1.494916,1.000000,-1,-1
25,31.920000,1.974574,1.348317,1.000000,-1,-1
26,30.550000,1.982220,1.481458,1.000000,-1,-1
27,32.800000,1.948606,1.354848,1.000000,-1,-1
28,33.760000,1.960300,1.514435,1.000000,-1,-1
29,32.530000,1.996833,1.402918,1.000000,-1,-1
30,24.250000,2.038607,1.253298,1.000000,-1,-1
31,29.230000,1.992674,1.464536,1.000000,-1,-1
32,32.880000,1.987592,1.645933,1.000000,-1,-1
33,30.360000,2.011482,1.673731,1.000000,-1,-1
34,33.190000,1.965285,1.270503,1.000000,-1,-1
35,32.610000,1.977751,1.561669,1.000000,-1,-1
36,19.280000,2.055184,1.280506,1.000000,-1,-1
37,26.420000,1.996798,1.420618,1.000000,-1,-1
38,32.550000,2.005721,1.859582,1.000000,-1,-1
39,30.110000,2.016518,1.496077,1.000000,-1,-1
40,25.810000,2.011193,1.373099,1.000000,-1,-1
41,26.930000,2.009464,1.453858,1.000000,-1,-1
42,32.550000,1.989105,1.473366,1.000000,-1,-1
43,29.690000,1.979400,1.384518,1.000000,-1,-1
44,33.390000,1.947384,1.531583,1.000000,-1,-1
45,29.300000,1.979246,1.382886,1.000000,-1,-1
46,25.800000,2.039015,1.472261,1.000000,-1,-1
47,29.150000,2.002484,1.274301,1.000000,-1,-1
48,27.700000,2.023355,1.503130,1.000000,-1,-1
49,30.280000,2.035301,1.750479,1.000000,-1,-1
50,25.810000,2.042949,1.463361,1.000000,-1,-1
51,31.520000,2.012889,1.638809,1.000000,-1,-1
52,29.110000,2.043434,1.364780,1.000000,-1,-1
53,30.770000,2.024175,1.436526,1.000000,-1,-1
54,27.990000,2.029534,1.647923,1.000000,-1,-1
55,27.800000,1.977877,1.154739,1.000000,-1,-1
56,30.980000,1.992120,1.412311,1.000000,-1,-1
57,30.670000,1.986809,1.361291,1.000000,-1,-1
58,32.170000,1.954491,1.468925,1.000000,-1,-1
59,28.640000,1.988912,1.201615,1.000000,-1,-1
60,31.420000,1.999518,1.554398,1.000000,-1,-1
61,32.290000,1.950196,1.240244,1.000000,-1,-1
62,31.710000,1.970796,1.513621,1.000000,-1,-1
63,31.950000,1.942259,1.438313,1.000000,-1,-1
64,29.110000,1.954061,1.168758,1.000000,-1,-1
