epoch,global_acc,global_loss,selected_clients,net2_avg_acc,best_net2_client,best_net2_acc,best_net2_used,fedrn_clean_ratio,fedrn_precision,fedrn_recall,bestnet2_clean_ratio,bestnet2_precision,bestnet2_recall,final_clean_ratio,final_precision,final_recall,missed_clean,false_clean,net1_train_loss,net2_train_loss
196,28.510000,2.490762,80|59|31|68|98|50|46|39|87|71,66.500000,46,90.000000,0,0.871750,0.533410,0.934204,0.744750,0.613964,0.918634,0.871750,0.533410,0.934204,131,1627,1.336954,1.349080
197,26.580000,2.561431,15|25|2|56|1|4|22|82|95|75,69.800000,2,100.000000,0,0.844250,0.708321,0.855508,0.734500,0.822668,0.864449,0.844250,0.708321,0.855508,404,985,0.825608,0.798506
198,31.990000,2.442689,36|17|35|4|38|21|6|61|15|12,71.400000,6,95.000000,0,0.726250,0.875043,0.789686,0.669250,0.953679,0.793103,0.726250,0.875043,0.789686,677,363,0.567623,0.699521
199,28.480000,2.545827,58|79|50|24|11|29|59|3|84|65,71.300000,29,98.000000,0,0.863750,0.663676,0.907400,0.743500,0.748151,0.880491,0.863750,0.663676,0.907400,234,1162,1.002823,1.036773
200,31.580000,2.472210,15|39|11|12|77|98|31|63|73|81,63.000000,15,86.000000,1,0.829250,0.645161,0.890183,0.725250,0.721475,0.870632,0.828250,0.646544,0.891015,262,1171,0.973948,1.090562
201,29.270000,2.511369,76|45|28|48|5|62|61|41|75|43,60.700000,61,91.000000,1,0.808750,0.585471,0.771801,0.782500,0.604153,0.770579,0.810500,0.585750,0.773839,555,1343,1.188867,1.106792
202,29.450000,2.564272,42|86|19|63|33|55|25|80|18|36,68.700000,18,92.000000,1,0.805750,0.668942,0.848485,0.688500,0.772694,0.837466,0.788500,0.683893,0.848878,384,997,0.961425,1.077474
203,28.580000,2.525416,2|51|63|95|61|71|31|41|21|83,66.700000,2,100.000000,1,0.897250,0.599331,0.918446,0.667250,0.790558,0.900939,0.872500,0.616905,0.919300,189,1337,1.136810,1.107516
204,27.640000,2.549729,60|32|48|96|54|98|58|94|39|69,63.500000,60,96.000000,1,0.874750,0.503858,0.912526,0.788250,0.554710,0.905280,0.862500,0.512174,0.914596,165,1683,1.347829,1.343573
205,30.170000,2.512263,5|67|63|33|82|50|29|25|87|0,69.400000,29,100.000000,1,0.792500,0.651735,0.797068,0.725750,0.703755,0.788194,0.790750,0.656971,0.801698,514,1085,0.919263,0.937766
206,28.060000,2.592861,0|74|80|36|19|20|89|98|93|47,67.100000,0,100.000000,1,0.872250,0.576096,0.903371,0.725500,0.695382,0.906966,0.847500,0.597345,0.910112,200,1365,1.125346,1.162229
207,28.010000,2.538171,68|50|57|48|35|33|72|82|91|85,58.500000,35,87.000000,1,0.841000,0.524376,0.875000,0.775000,0.567742,0.873016,0.841750,0.525097,0.876984,248,1599,1.324031,1.308161
208,29.590000,2.522269,32|28|67|13|62|94|78|80|68|60,75.200000,13,94.000000,1,0.900250,0.593724,0.998133,0.709000,0.738364,0.977591,0.902000,0.593126,0.999066,2,1468,1.185497,1.225088
209,31.180000,2.486154,51|18|69|98|66|53|8|3|33|58,78.600000,3,97.000000,1,0.911000,0.694841,0.995674,0.725000,0.850690,0.970114,0.891750,0.705355,0.989383,27,1051,0.925963,0.974793
210,29.100000,2.563908,35|96|75|3|15|41|0|28|29|57,72.600000,0,100.000000,1,0.819250,0.747940,0.878495,0.734250,0.829758,0.873477,0.821250,0.749163,0.882079,329,824,0.714973,0.843846
211,30.620000,2.487323,42|51|95|21|92|98|76|34|48|22,54.100000,22,91.000000,1,0.794750,0.531299,0.785216,0.726500,0.567447,0.766620,0.795000,0.531761,0.786146,460,1489,1.203454,1.204937
212,30.220000,2.503150,58|62|77|4|82|91|44|59|11|27,67.500000,4,94.000000,1,0.913250,0.638106,0.988969,0.717500,0.786411,0.957573,0.910250,0.641307,0.990666,22,1306,1.108264,1.069205
213,28.380000,2.548162,51|21|41|99|73|80|91|12|47|39,61.700000,47,90.000000,1,0.802750,0.592962,0.853429,0.748750,0.626711,0.841327,0.804000,0.593595,0.855670,322,1307,1.054469,1.149392
214,25.740000,2.623186,61|57|32|80|39|77|11|82|41|48,67.400000,32,88.000000,1,0.861250,0.596807,0.888505,0.763000,0.648755,0.855661,0.860750,0.596573,0.887640,260,1389,1.142868,1.169958
215,25.840000,2.628606,9|86|45|1|82|25|59|0|97|40,65.600000,9,100.000000,1,0.836250,0.640658,0.829977,0.723000,0.738243,0.826878,0.828750,0.651584,0.836561,422,1155,0.957663,0.910851
216,27.370000,2.604729,92|55|10|47|64|46|53|27|32|72,70.700000,64,92.000000,1,0.850000,0.637941,0.900000,0.720750,0.733958,0.878008,0.793750,0.682835,0.899585,242,1007,1.013022,1.124502
217,27.770000,2.563432,16|25|72|96|43|50|46|30|86|44,54.900000,46,94.000000,1,0.766500,0.545336,0.703408,0.699250,0.590275,0.694573,0.766000,0.545039,0.702566,707,1394,1.196484,1.086136
218,19.340000,2.796947,2|40|12|77|55|85|61|44|47|53,73.300000,2,100.000000,1,0.842750,0.640166,0.870161,0.630500,0.852102,0.866532,0.823250,0.655329,0.870161,322,1135,0.998932,1.025318
219,26.050000,2.630286,55|20|5|89|61|86|99|51|95|60,61.200000,60,97.000000,1,0.906000,0.519316,0.933995,0.836250,0.556951,0.924566,0.904000,0.520465,0.933995,133,1734,1.291042,1.188513
220,27.340000,2.594696,2|67|9|36|10|25|51|27|95|13,66.700000,2,100.000000,1,0.797000,0.745609,0.810986,0.669500,0.883122,0.806892,0.795500,0.746386,0.810304,556,807,0.765290,0.755998
221,25.940000,2.618642,74|58|45|31|41|27|83|71|10|66,67.600000,31,84.000000,1,0.805250,0.642347,0.867869,0.746500,0.688547,0.862416,0.797500,0.648903,0.868289,314,1120,1.006481,1.107249
222,29.140000,2.533614,1|6|25|24|80|11|26|91|37|27,75.000000,1,95.000000,1,0.860250,0.798896,0.930918,0.803000,0.847447,0.921774,0.839500,0.818046,0.930240,206,611,0.636673,0.788395
223,28.080000,2.583095,98|20|58|90|53|96|76|59|27|63,60.800000,20,84.000000,1,0.845500,0.539622,0.933027,0.707000,0.607496,0.878323,0.846500,0.540165,0.935072,127,1557,1.218344,1.165097
224,34.160000,2.450362,84|4|67|32|18|24|91|0|13|87,70.800000,0,100.000000,1,0.900250,0.717578,0.971064,0.834500,0.778011,0.975949,0.891250,0.730435,0.978579,57,961,0.808330,0.855476
225,28.960000,2.560179,76|31|81|28|54|2|27|79|67|61,65.300000,2,100.000000,1,0.866250,0.645599,0.937945,0.749000,0.745661,0.936688,0.854250,0.655253,0.938784,146,1178,1.004858,1.051907
226,29.080000,2.535453,23|43|57|95|14|42|86|20|59|29,69.300000,29,100.000000,1,0.818000,0.682457,0.890706,0.771000,0.712711,0.876745,0.836250,0.670254,0.894296,265,1103,0.917582,0.983233
227,27.150000,2.580220,97|53|34|91|74|90|1|26|96|64,60.900000,1,91.000000,1,0.860500,0.501743,0.863068,0.729250,0.606102,0.883558,0.870000,0.506322,0.880560,239,1718,1.289149,1.213033
228,27.760000,2.598589,60|31|62|39|2|86|10|16|27|68,68.800000,2,100.000000,1,0.815500,0.705702,0.846324,0.638750,0.890411,0.836397,0.755000,0.762914,0.847059,416,716,0.651236,0.858439
229,28.340000,2.575290,79|42|52|1|49|74|53|27|2|97,74.200000,2,100.000000,1,0.876500,0.696235,0.983481,0.760500,0.811637,0.994762,0.860500,0.715282,0.991942,20,980,0.862938,0.988346
230,27.680000,2.601639,11|56|53|84|91|36|99|8|74|32,68.900000,8,92.000000,1,0.900250,0.586226,0.932420,0.742750,0.693706,0.910336,0.897500,0.588301,0.932862,152,1478,1.224551,1.094239
231,33.360000,2.503353,23|79|5|4|20|87|33|51|57|14,77.400000,4,96.000000,1,0.892250,0.775848,0.985059,0.805750,0.847657,0.971896,0.893000,0.776316,0.986482,38,799,0.778684,0.827794
232,34.680000,2.466882,13|8|40|31|26|23|63|72|66|24,79.500000,8,95.000000,1,0.856250,0.784818,0.948818,0.746500,0.888814,0.936816,0.859250,0.783532,0.950582,140,744,0.744207,0.892193
233,30.680000,2.585095,19|44|96|72|79|9|16|34|62|89,59.700000,9,100.000000,1,0.847250,0.581883,0.842015,0.697250,0.697024,0.830060,0.824250,0.599636,0.844150,365,1320,1.062534,1.032538
234,27.110000,2.615426,23|83|63|26|9|75|78|46|99|82,65.300000,9,100.000000,1,0.892000,0.573150,0.957397,0.777250,0.647797,0.942884,0.858250,0.595106,0.956461,93,1390,1.078429,1.130656
235,26.050000,2.621070,87|9|17|74|80|36|52|73|39|11,73.500000,9,100.000000,1,0.842250,0.635500,0.865051,0.679000,0.785714,0.862222,0.830250,0.647395,0.868687,325,1171,0.998458,1.023708
236,27.110000,2.610912,65|66|36|17|62|9|77|20|49|33,68.300000,9,100.000000,1,0.795250,0.687834,0.836711,0.703250,0.775329,0.834034,0.792500,0.691798,0.838623,422,977,0.915235,0.996859
237,24.330000,2.673935,74|41|53|90|49|68|47|76|59|37,68.200000,47,91.000000,1,0.847500,0.559292,0.901141,0.769500,0.607212,0.888308,0.848250,0.559976,0.903042,204,1493,1.273848,1.217165
238,26.570000,2.711136,19|6|95|65|46|94|68|85|14|77,66.900000,14,97.000000,1,0.886750,0.567522,0.922126,0.743250,0.644467,0.877691,0.857750,0.587001,0.922584,169,1417,1.086215,1.122041
239,29.130000,2.558531,44|93|16|21|96|52|64|47|61|58,67.000000,64,98.000000,1,0.823750,0.609408,0.897230,0.698500,0.700787,0.874888,0.778750,0.646228,0.899464,225,1102,0.948407,1.094324
240,28.170000,2.593781,52|21|89|46|26|77|73|22|87|23,74.300000,46,97.000000,1,0.896750,0.653750,0.996600,0.806250,0.706977,0.968976,0.896000,0.654297,0.996600,8,1239,0.989129,1.052555
