epoch,client_id,set_name,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
100,8,final,0,0,0,0,0,0,0,177,186,0
100,29,scoreA,2,1,1,0,1,2,0,0,0,305
100,29,fedrn,0,0,0,0,0,0,0,0,0,308
100,29,final,0,0,0,0,0,0,0,0,0,308
100,15,scoreA,0,1,0,1,0,145,0,177,0,0
100,15,fedrn,0,0,0,0,0,168,0,182,0,0
100,15,final,0,0,0,0,0,168,0,182,0,0
100,51,scoreA,2,10,13,2,111,5,3,127,3,6
100,51,fedrn,0,0,0,0,112,0,0,134,0,0
100,51,final,0,0,0,0,112,0,0,134,0,0
100,89,scoreA,68,13,16,15,22,17,20,9,13,59
100,89,fedrn,60,1,1,0,2,3,16,0,0,62
100,89,final,60,1,1,0,2,3,16,0,0,62
100,95,scoreA,20,19,23,56,52,24,17,22,14,32
100,95,fedrn,6,13,2,68,57,15,3,17,3,17
100,95,final,6,13,2,68,57,15,3,17,3,17
100,52,scoreA,2,7,12,8,8,7,3,118,113,3
100,52,fedrn,0,0,0,0,0,0,0,115,114,0
100,52,final,0,0,0,0,0,0,0,115,114,0
100,97,scoreA,10,23,25,16,44,20,12,62,11,25
100,97,fedrn,1,15,7,9,68,6,2,69,1,8
100,97,final,1,15,7,9,68,6,2,69,1,8
100,13,scoreA,0,0,0,0,0,0,170,0,175,0
100,13,fedrn,0,0,0,0,0,0,175,0,178,0
100,13,final,0,0,0,0,0,0,175,0,178,0
100,85,scoreA,12,63,6,10,63,18,10,18,8,16
100,85,fedrn,0,69,0,0,83,7,0,1,0,0
100,85,final,0,69,0,0,83,7,0,1,0,0
100,33,scoreA,2,0,0,0,2,128,144,0,0,1
100,33,fedrn,0,0,0,0,0,138,145,0,0,0
100,33,final,0,0,0,0,0,138,145,0,0,0
100,61,scoreA,4,7,7,2,13,5,192,5,3,9
100,61,fedrn,0,0,0,0,0,0,203,0,0,0
100,61,final,0,0,0,0,0,0,203,0,0,0
100,55,scoreA,0,0,0,1,116,0,1,74,1,0
100,55,fedrn,0,0,0,0,123,0,0,112,1,0
100,55,final,0,0,0,0,123,0,0,112,1,0
100,7,scoreA,172,177,1,0,0,0,0,0,0,0
100,7,fedrn,189,183,0,0,0,0,0,0,0,0
100,7,final,189,183,0,0,0,0,0,0,0,0
100,20,scoreA,0,1,165,0,1,0,0,146,0,3
100,20,fedrn,0,0,167,0,0,0,0,165,0,0
100,20,final,0,0,167,0,0,0,0,165,0,0
