epoch,target_client,best_net2_client,scoreA_count,fedrn_clean_count,bestnet2_clean_count,final_clean_count,final_precision,final_recall,missed_clean,false_clean
100,98,0,145,184,158,184,0.326087,0.689655,27,124
100,68,0,142,203,206,203,0.886700,0.983607,3,23
100,67,0,154,216,215,216,0.810185,0.940860,11,41
100,37,0,242,286,299,286,0.954545,0.968085,9,13
100,72,0,228,229,196,229,0.733624,0.988235,2,61
100,59,0,201,177,214,177,0.819209,0.683962,67,32
100,0,0,284,345,320,345,1.000000,0.862500,55,0
100,58,0,246,216,223,216,0.898148,0.902326,21,22
100,4,0,247,355,390,355,0.997183,0.912371,34,1
100,6,0,190,190,190,190,0.994737,0.496063,192,1
101,72,60,173,241,265,241,0.688797,0.976471,4,75
101,41,60,139,140,151,140,0.957143,0.498141,135,6
101,60,60,215,208,264,208,1.000000,1.000000,0,0
101,94,60,186,229,263,229,0.388646,0.890000,11,140
101,11,60,226,359,361,359,0.997214,0.980822,7,1
101,88,60,162,183,169,183,0.612022,0.941176,7,71
101,39,60,211,279,265,279,0.924731,0.934783,18,21
101,70,60,136,177,175,177,0.870056,0.875000,22,23
101,62,60,229,192,187,192,0.963542,0.915842,17,7
101,47,60,235,245,245,245,0.971429,0.952000,12,7
102,18,62,324,322,323,322,1.000000,0.938776,21,0
102,85,62,247,263,281,263,0.479087,0.984375,2,137
102,68,62,271,184,228,184,0.945652,0.950820,9,10
102,84,62,244,209,250,209,0.622010,0.984848,2,79
102,79,62,207,188,231,188,0.771277,0.979730,3,43
102,8,62,329,366,356,366,1.000000,0.976000,9,0
102,62,62,250,194,198,194,0.974227,0.935644,13,5
102,44,62,212,228,267,228,0.969298,0.850000,39,7
102,99,62,229,232,265,232,0.362069,1.000000,0,148
102,70,62,248,175,236,175,0.960000,0.954545,8,7
103,0,0,238,363,354,363,1.000000,0.907500,37,0
103,14,0,297,344,357,344,1.000000,0.966292,12,0
103,90,0,177,170,146,170,0.658824,1.000000,0,58
103,42,0,181,141,148,141,0.921986,0.488722,136,11
103,38,0,157,143,150,143,0.979021,0.501792,139,3
103,24,0,184,158,163,158,0.968354,0.472222,171,5
103,28,0,160,160,162,160,0.981250,0.504823,154,3
103,77,0,161,170,88,170,0.552941,0.610390,60,76
103,8,0,371,367,369,367,1.000000,0.978667,8,0
103,56,0,169,158,114,158,0.772152,0.552036,99,36
104,91,9,255,257,274,257,0.412451,0.972477,3,151
104,9,9,250,372,372,372,1.000000,1.000000,0,0
104,75,9,179,196,217,196,0.357143,0.437500,90,126
104,79,9,229,227,206,227,0.621145,0.952703,7,86
104,48,9,103,212,208,212,0.514151,0.441296,138,103
104,0,9,202,321,318,321,1.000000,0.802500,79,0
104,70,9,222,173,179,173,0.953757,0.937500,11,8
104,86,9,162,230,242,230,0.252174,0.464000,67,172
104,67,9,128,99,103,99,0.878788,0.467742,99,12
104,84,9,241,229,255,229,0.572052,0.992424,1,98
105,84,9,273,253,228,253,0.517787,0.992424,1,122
105,13,9,330,346,352,346,0.994220,0.958217,15,2
105,58,9,263,262,177,262,0.690840,0.841860,34,81
