epoch,global_acc,global_loss,selected_clients,net2_avg_acc,best_net2_client,best_net2_acc,best_net2_used,fedrn_clean_ratio,fedrn_precision,fedrn_recall,bestnet2_clean_ratio,bestnet2_precision,bestnet2_recall,final_clean_ratio,final_precision,final_recall,missed_clean,false_clean,net1_train_loss,net2_train_loss
0,19.380000,2.274919,37|22|80|52|53|54|31|63|19|35,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.580457,-1.000000
1,19.290000,2.226484,67|27|65|46|16|91|59|74|57|3,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.622284,-1.000000
2,16.390000,2.211288,12|91|72|58|1|28|90|98|20|2,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.447734,-1.000000
3,21.820000,2.160678,66|38|70|35|12|33|60|93|26|43,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.567373,-1.000000
4,25.050000,2.131915,37|67|55|63|29|24|25|42|81|96,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.651683,-1.000000
5,25.110000,2.134269,91|82|90|77|99|45|37|35|61|65,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.900262,-1.000000
6,24.210000,2.137207,6|52|79|65|54|35|32|61|31|82,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.583173,-1.000000
7,23.120000,2.128799,79|8|33|47|83|59|75|2|3|70,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.412505,-1.000000
8,27.360000,2.109605,6|1|79|4|9|59|21|15|86|27,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.129277,-1.000000
9,20.820000,2.116695,49|97|5|72|87|2|74|9|92|75,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.542072,-1.000000
10,19.890000,2.180869,1|75|80|42|78|79|82|38|45|8,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.580964,-1.000000
