epoch,global_acc,global_loss,selected_clients,net2_avg_acc,best_net2_client,best_net2_acc,best_net2_used,fedrn_clean_ratio,fedrn_precision,fedrn_recall,bestnet2_clean_ratio,bestnet2_precision,bestnet2_recall,final_clean_ratio,final_precision,final_recall,missed_clean,false_clean,net1_train_loss,net2_train_loss
0,16.900000,2.291250,37|22|80|52|53|54|31|63|19|35,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.594303,-1.000000
1,17.940000,2.231262,67|27|65|46|16|91|59|74|57|3,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.620990,-1.000000
2,16.180000,2.260830,12|91|72|58|1|28|90|98|20|2,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.445923,-1.000000
3,20.880000,2.179780,66|38|70|35|12|33|60|93|26|43,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.582771,-1.000000
4,23.000000,2.168655,37|67|55|63|29|24|25|42|81|96,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.665567,-1.000000
5,25.020000,2.157191,91|82|90|77|99|45|37|35|61|65,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.896946,-1.000000
6,21.950000,2.144751,6|52|79|65|54|35|32|61|31|82,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.581038,-1.000000
7,24.450000,2.112193,79|8|33|47|83|59|75|2|3|70,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.409134,-1.000000
8,28.680000,2.094739,6|1|79|4|9|59|21|15|86|27,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.129698,-1.000000
9,20.910000,2.088092,49|97|5|72|87|2|74|9|92|75,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.534940,-1.000000
10,19.320000,2.161912,1|75|80|42|78|79|82|38|45|8,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.579195,-1.000000
11,21.520000,2.125177,1|90|82|40|18|96|86|12|39|51,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.535329,-1.000000
12,26.980000,2.063587,32|70|51|84|49|46|48|89|5|92,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.695570,-1.000000
13,23.700000,2.082981,93|14|52|48|12|40|20|18|92|74,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.473832,-1.000000
14,25.750000,2.031861,30|62|8|19|74|82|16|55|5|26,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.307047,-1.000000
15,23.260000,2.067697,64|24|17|3|57|86|11|95|71|32,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.457776,-1.000000
16,32.270000,1.999185,9|65|16|10|38|19|61|8|77|70,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.279708,-1.000000
17,30.750000,1.991322,21|42|93|50|38|5|47|96|71|92,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.624566,-1.000000
18,26.270000,2.038769,19|25|89|96|76|80|73|5|45|84,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.652182,-1.000000
19,27.160000,2.059063,11|62|67|84|6|64|68|48|72|89,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.665498,-1.000000
20,29.510000,2.016093,7|14|1|80|28|66|65|59|97|15,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.373030,-1.000000
21,32.880000,1.982748,13|36|55|64|69|46|61|15|42|56,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.502552,-1.000000
22,25.290000,2.046267,80|58|31|72|93|84|18|42|8|7,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.474511,-1.000000
23,26.810000,2.048196,74|90|65|48|81|22|15|64|2|38,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.491776,-1.000000
24,28.130000,2.028115,64|73|12|10|23|19|81|70|48|93,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.481264,-1.000000
25,28.140000,2.010827,14|76|63|80|1|35|17|33|22|68,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.348962,-1.000000
26,28.700000,2.007892,38|69|39|81|1|42|82|40|20|36,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.475974,-1.000000
27,29.420000,1.988301,96|15|5|28|55|1|47|65|34|73,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.350997,-1.000000
28,30.410000,1.992069,90|25|58|76|6|87|42|72|34|18,-1.000000,-1,-1.000000,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1,-1,1.510438,-1.000000
