epoch,target_client,best_net2_client,scoreA_count,fedrn_clean_count,bestnet2_clean_count,final_clean_count,final_precision,final_recall,missed_clean,false_clean
100,98,0,192,227,169,227,0.352423,0.919540,7,147
100,68,0,190,202,206,202,0.896040,0.989071,2,21
100,67,0,142,138,103,138,0.804348,0.596774,75,27
100,37,0,251,147,293,147,0.952381,0.496454,142,7
100,72,0,267,226,219,226,0.730088,0.970588,5,61
100,59,0,235,219,221,219,0.949772,0.981132,4,11
100,0,0,233,327,328,327,1.000000,0.817500,73,0
100,58,0,223,224,230,224,0.888393,0.925581,16,25
100,4,0,247,351,390,351,0.997151,0.902062,38,1
100,6,0,186,189,190,189,0.994709,0.493438,193,1
101,72,60,189,219,139,219,0.680365,0.876471,21,70
101,41,60,133,138,146,138,0.942029,0.483271,139,8
101,60,60,331,216,207,216,0.958333,0.995192,1,9
101,94,60,193,276,301,276,0.315217,0.870000,13,189
101,11,60,249,363,366,363,0.997245,0.991781,3,1
101,88,60,127,198,221,198,0.479798,0.798319,24,103
101,39,60,203,291,291,291,0.865979,0.913043,24,39
101,70,60,177,178,204,178,0.943820,0.954545,8,10
101,62,60,187,229,207,229,0.816594,0.925743,15,42
101,47,60,251,251,258,251,0.948207,0.952000,12,13
102,18,18,343,331,321,331,1.000000,0.965015,12,0
102,85,18,209,261,321,261,0.478927,0.976562,3,136
102,68,18,286,180,163,180,0.955556,0.939891,11,8
102,84,18,264,208,222,208,0.629808,0.992424,1,77
102,79,18,265,237,215,237,0.599156,0.959459,6,95
102,8,18,335,364,363,364,1.000000,0.970667,11,0
102,62,18,280,197,183,197,0.979695,0.955446,9,4
102,44,18,268,243,257,243,0.967078,0.903846,25,8
102,99,18,235,227,216,227,0.361233,0.976190,2,145
102,70,18,235,172,175,172,0.965116,0.943182,10,6
103,0,0,243,355,358,355,1.000000,0.887500,45,0
103,14,0,331,338,352,338,1.000000,0.949438,18,0
103,90,0,197,197,111,197,0.563452,0.991071,1,86
103,42,0,153,141,148,141,0.921986,0.488722,136,11
103,38,0,162,150,150,150,0.966667,0.519713,134,5
103,24,0,189,151,163,151,0.973510,0.453704,177,4
103,28,0,150,164,162,164,0.975610,0.514469,151,4
103,77,0,203,273,258,273,0.553114,0.980519,3,122
103,8,0,355,367,375,367,1.000000,0.978667,8,0
103,56,0,188,238,113,238,0.869748,0.936652,14,31
104,91,9,251,210,92,210,0.504762,0.972477,3,104
104,9,9,191,372,372,372,1.000000,1.000000,0,0
104,75,9,173,186,174,186,0.376344,0.437500,90,116
104,79,9,236,254,258,254,0.559055,0.959459,6,112
104,48,9,117,235,232,235,0.523404,0.497976,124,112
104,0,9,215,336,305,336,1.000000,0.840000,64,0
104,70,9,238,173,179,173,0.965318,0.948864,9,6
104,86,9,190,221,211,221,0.248869,0.440000,70,166
104,67,9,184,225,103,225,0.617778,0.747312,47,86
104,84,9,243,228,236,228,0.570175,0.984848,2,98
105,84,9,294,285,293,285,0.463158,1.000000,0,153
105,13,9,345,349,355,349,0.997135,0.969359,11,1
105,58,9,228,113,117,113,0.964602,0.506977,106,4
105,9,9,302,372,372,372,1.000000,1.000000,0,0
105,71,9,279,272,262,272,0.628676,0.988439,2,101
105,45,9,182,128,131,128,0.976562,0.488281,131,3
105,78,9,224,163,103,163,0.539877,0.582781,63,75
105,48,9,155,231,238,231,0.549784,0.514170,120,104
105,41,9,240,145,149,145,0.965517,0.520446,129,5
105,56,9,306,229,232,229,0.960699,0.995475,1,9
106,38,62,315,277,281,277,0.971119,0.964158,10,8
106,32,62,339,292,285,292,0.993151,0.973154,8,2
106,11,62,172,181,181,181,0.994475,0.493151,185,1
106,72,62,289,235,207,235,0.723404,1.000000,0,65
106,31,62,343,296,297,296,0.989865,0.973422,8,3
106,91,62,296,301,290,301,0.362126,1.000000,0,192
106,44,62,324,259,260,259,0.965251,0.961538,10,9
106,99,62,253,294,305,294,0.282313,0.988095,1,211
106,66,62,215,184,145,184,0.538043,0.523810,90,85
106,62,62,305,197,299,197,0.969543,0.945545,11,6
107,61,61,323,202,209,202,0.985149,0.970732,6,3
107,22,61,342,324,330,324,0.996914,0.978788,7,1
107,99,61,296,301,336,301,0.272425,0.976190,2,219
107,88,61,266,284,266,284,0.419014,1.000000,0,165
107,66,61,223,161,113,161,0.590062,0.502646,94,66
107,70,61,318,223,208,223,0.771300,0.977273,4,51
107,3,61,336,380,391,380,1.000000,0.971867,11,0
107,19,61,334,327,343,327,0.987768,0.950000,17,4
107,21,61,348,335,337,335,0.979104,0.984985,5,7
107,37,61,348,289,291,289,0.951557,0.975177,7,14
108,96,0,266,271,250,271,0.177122,0.516129,45,223
108,42,0,300,268,276,268,0.929104,0.936090,17,19
108,93,0,272,288,250,288,0.357639,1.000000,0,185
108,38,0,332,281,286,281,0.971530,0.978495,6,8
108,64,0,324,217,195,217,0.889401,0.984694,3,24
108,36,0,219,149,149,149,0.953020,0.498246,143,7
108,58,0,258,218,115,218,0.619266,0.627907,80,83
108,81,0,237,248,221,248,0.282258,0.496454,71,178
108,0,0,228,330,319,330,1.000000,0.825000,70,0
108,59,0,324,206,202,206,0.970874,0.943396,12,6
109,16,64,201,180,185,180,0.994444,0.512894,170,1
109,99,64,299,311,327,311,0.266881,0.988095,1,228
109,92,64,229,253,294,253,0.189723,0.452830,58,205
109,67,64,309,301,261,301,0.607973,0.983871,3,118
109,48,64,156,257,265,257,0.494163,0.514170,120,130
109,44,64,305,250,265,250,0.984000,0.946154,14,4
109,45,64,217,123,130,123,0.943089,0.453125,140,7
109,64,64,301,322,196,322,0.602484,0.989796,2,128
109,82,64,238,258,270,258,0.310078,0.579710,58,178
109,10,64,207,191,191,191,0.984293,0.510870,180,3
110,66,0,241,224,100,224,0.526786,0.624339,71,106
110,39,0,353,289,289,289,0.923875,0.967391,9,22
110,0,0,291,336,338,336,1.000000,0.840000,64,0
110,21,0,375,335,341,335,0.979104,0.984985,5,7
110,35,0,349,283,287,283,0.978799,0.961806,11,6
110,26,0,290,309,326,309,0.980583,0.955836,14,6
110,33,0,345,298,307,298,0.959732,0.969492,9,12
110,46,0,343,253,254,253,0.980237,0.980237,5,5
110,63,0,230,181,112,181,0.646409,0.587940,82,64
110,87,0,322,313,280,313,0.386581,0.991803,1,192
111,75,60,255,249,208,249,0.281124,0.437500,90,179
111,60,60,294,208,209,208,0.995192,0.995192,1,1
