epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,scoreA_clean_ratio,scoreA_precision,scoreA_recall,fedrn_clean_ratio,fedrn_precision,fedrn_recall,net2_clean_ratio,net2_precision,net2_recall,selection_precision,selection_recall,false_clean,missed_clean,neighbor_net2_used_ratio,neighbor_ft_ep,net2_ft_ep
29,30.660000,2.009296,1.554859,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
30,33.940000,1.992300,1.532455,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
31,35.860000,1.967883,1.406691,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
32,33.630000,1.991534,1.630189,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
33,32.630000,1.995776,1.607458,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
34,32.470000,1.998184,1.463695,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
35,34.220000,1.988809,1.547518,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
36,34.900000,1.965159,1.435374,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
37,36.740000,1.952082,1.410735,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
38,37.380000,1.946620,1.422748,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
39,34.650000,1.976303,1.561673,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
40,34.960000,1.966033,1.416563,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
