epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,selection_precision,selection_recall,false_clean,missed_clean,neighbor_net2_used_ratio
62,30.570000,1.990494,1.518343,1.000000,-1.000000,-1.000000,0,0,-1.000000
63,31.880000,1.958119,1.439789,1.000000,-1.000000,-1.000000,0,0,-1.000000
64,30.110000,1.961073,1.172894,1.000000,-1.000000,-1.000000,0,0,-1.000000
65,28.980000,2.007904,1.608539,1.000000,-1.000000,-1.000000,0,0,-1.000000
66,34.260000,1.956871,1.633196,1.000000,-1.000000,-1.000000,0,0,-1.000000
67,31.540000,1.994541,1.461817,1.000000,-1.000000,-1.000000,0,0,-1.000000
68,32.580000,1.973580,1.308369,1.000000,-1.000000,-1.000000,0,0,-1.000000
69,27.160000,2.030127,1.597581,1.000000,-1.000000,-1.000000,0,0,-1.000000
70,34.100000,1.965479,1.331059,1.000000,-1.000000,-1.000000,0,0,-1.000000
71,24.020000,2.068559,1.551621,1.000000,-1.000000,-1.000000,0,0,-1.000000
72,26.800000,2.063169,1.611636,1.000000,-1.000000,-1.000000,0,0,-1.000000
73,31.120000,1.990220,1.439288,1.000000,-1.000000,-1.000000,0,0,-1.000000
74,23.950000,2.034829,1.439374,1.000000,-1.000000,-1.000000,0,0,-1.000000
75,33.180000,1.935051,1.186350,1.000000,-1.000000,-1.000000,0,0,-1.000000
76,29.990000,2.009448,1.698811,1.000000,-1.000000,-1.000000,0,0,-1.000000
77,31.460000,1.988454,1.105071,1.000000,-1.000000,-1.000000,0,0,-1.000000
78,28.850000,2.007082,1.736386,1.000000,-1.000000,-1.000000,0,0,-1.000000
79,33.430000,1.946871,1.234776,1.000000,-1.000000,-1.000000,0,0,-1.000000
80,30.280000,2.038923,1.943088,1.000000,-1.000000,-1.000000,0,0,-1.000000
81,30.350000,2.048096,1.605082,1.000000,-1.000000,-1.000000,0,0,-1.000000
82,33.140000,1.952206,1.312104,1.000000,-1.000000,-1.000000,0,0,-1.000000
83,30.300000,2.013951,1.623009,1.000000,-1.000000,-1.000000,0,0,-1.000000
84,30.110000,2.013455,1.326680,1.000000,-1.000000,-1.000000,0,0,-1.000000
85,27.480000,2.036809,1.329569,1.000000,-1.000000,-1.000000,0,0,-1.000000
86,27.670000,2.026530,1.688453,1.000000,-1.000000,-1.000000,0,0,-1.000000
87,27.800000,2.023986,1.342629,1.000000,-1.000000,-1.000000,0,0,-1.000000
88,27.870000,2.005285,1.359963,1.000000,-1.000000,-1.000000,0,0,-1.000000
89,31.170000,1.991616,1.543725,1.000000,-1.000000,-1.000000,0,0,-1.000000
90,30.760000,2.008200,1.093347,1.000000,-1.000000,-1.000000,0,0,-1.000000
91,30.130000,2.008692,1.390073,1.000000,-1.000000,-1.000000,0,0,-1.000000
92,27.110000,2.096458,1.464233,1.000000,-1.000000,-1.000000,0,0,-1.000000
93,28.320000,2.016613,1.111075,1.000000,-1.000000,-1.000000,0,0,-1.000000
94,29.570000,2.008776,1.562572,1.000000,-1.000000,-1.000000,0,0,-1.000000
95,30.330000,1.970698,0.842206,1.000000,-1.000000,-1.000000,0,0,-1.000000
96,32.740000,1.970501,1.026133,1.000000,-1.000000,-1.000000,0,0,-1.000000
97,27.380000,2.054988,1.818630,1.000000,-1.000000,-1.000000,0,0,-1.000000
98,26.870000,2.038917,1.239370,1.000000,-1.000000,-1.000000,0,0,-1.000000
99,28.020000,2.000140,1.065682,1.000000,-1.000000,-1.000000,0,0,-1.000000
100,30.980000,2.018115,0.517453,0.606400,0.876979,0.851152,373,465,0.000000
101,30.810000,2.068053,0.645098,0.534800,0.802169,0.761719,529,671,0.000000
102,26.000000,2.153033,0.556469,0.608800,0.841656,0.881018,482,346,0.000000
103,36.070000,2.111961,0.861052,0.621600,0.736486,0.976536,819,55,0.000000
104,41.090000,2.068599,0.758936,0.637000,0.730612,0.768494,858,701,0.000000
105,31.850000,2.284192,0.645449,0.721800,0.827930,0.872664,621,436,0.000000
106,35.850000,2.168630,0.326773,0.661400,0.953130,0.917346,155,284,0.000000
107,34.920000,2.255948,0.881329,0.731800,0.734080,0.895333,973,314,0.000000
108,40.910000,2.217261,0.910660,0.636600,0.685517,0.844427,1001,402,0.000000
109,38.290000,2.184691,1.168859,0.719400,0.574090,0.782197,1532,575,0.000000
110,26.650000,2.367969,0.661554,0.666200,0.800660,0.825186,664,565,0.000000
111,32.330000,2.338131,0.293119,0.583600,0.940027,0.764493,175,845,0.000000
112,34.770000,2.326789,0.282631,0.586800,0.913770,0.720699,253,1039,0.000000
113,33.590000,2.217308,0.978580,0.741200,0.678629,0.864856,1191,393,0.000000
114,34.810000,2.128019,0.406106,0.696000,0.931609,0.869635,238,486,0.000000
115,37.770000,2.100065,1.069901,0.715000,0.628811,0.855403,1327,380,0.000000
116,37.480000,2.152458,0.696813,0.693000,0.786436,0.843131,740,507,0.000000
117,37.670000,2.131003,0.536048,0.744600,0.854418,0.913031,542,303,0.000000
118,35.210000,2.146932,0.562679,0.742600,0.814974,0.885831,687,390,0.000000
119,39.790000,2.067596,0.972925,0.633800,0.609025,0.731061,1239,710,0.000000
120,28.050000,2.253043,0.919282,0.812000,0.715025,0.891585,1157,353,0.000000
121,33.240000,2.168818,0.737985,0.729800,0.784599,0.954333,786,137,0.000000
122,30.370000,2.238282,1.206837,0.758000,0.571504,0.766997,1624,658,0.000000
123,33.240000,2.220427,0.386304,0.675800,0.896715,0.818919,349,670,0.000000
124,35.310000,2.191047,1.171545,0.830600,0.601974,0.920471,1653,216,0.000000
125,35.760000,2.226769,1.294170,0.749800,0.492665,0.798875,1902,465,0.000000
126,31.950000,2.271575,0.597522,0.794400,0.823263,0.961765,702,130,0.000000
127,33.710000,2.257261,1.064182,0.814000,0.612531,0.850273,1577,439,0.000000
128,38.440000,2.178044,0.685456,0.770400,0.812046,0.930952,724,232,0.000000
129,33.650000,2.208687,0.884182,0.822800,0.715848,0.992251,1169,23,0.000000
130,33.300000,2.271407,1.047576,0.813200,0.645598,0.895293,1441,307,0.000000
131,32.090000,2.342208,0.867764,0.810200,0.691928,0.930611,1248,209,0.000000
132,36.550000,2.236203,0.816063,0.713000,0.708836,0.914255,1038,237,0.000000
133,36.310000,2.257043,1.130916,0.877600,0.610757,0.966811,1708,92,0.000000
134,30.600000,2.326786,1.445747,0.856800,0.496965,0.994860,2155,11,0.000000
135,34.000000,2.308864,0.967890,0.828400,0.677209,0.916667,1337,255,0.000000
136,33.010000,2.328930,1.168590,0.818000,0.581663,0.919243,1711,209,0.000000
137,35.370000,2.296132,1.263089,0.846600,0.563666,0.916283,1847,218,0.000000
138,22.050000,2.463913,1.270147,0.828400,0.544182,0.802707,1888,554,0.000000
139,27.500000,2.385854,1.066264,0.821800,0.616695,0.892254,1575,306,0.000000
140,31.660000,2.341705,0.948499,0.836000,0.705502,0.911310,1231,287,0.000000
141,37.530000,2.286173,1.304718,0.855800,0.564618,0.961783,1863,96,0.000000
142,36.260000,2.299075,0.821375,0.821800,0.774884,0.911798,925,308,0.000000
143,35.050000,2.306191,1.253992,0.737200,0.526858,0.771860,1744,574,0.000000
144,35.190000,2.313905,1.206811,0.839600,0.582897,0.931126,1751,181,0.000000
145,30.950000,2.406208,0.982436,0.853000,0.683939,0.861998,1348,467,0.000000
146,21.820000,2.514338,1.086325,0.827600,0.624940,0.899166,1552,290,0.000000
147,23.110000,2.477155,0.907940,0.771600,0.677035,0.841495,1246,492,0.000000
148,32.610000,2.355498,1.367343,0.843800,0.607253,0.877397,1657,358,0.000000
149,29.880000,2.427128,1.348221,0.887600,0.541009,0.889259,2037,299,0.000000
150,24.000000,2.484539,1.458843,0.848600,0.486920,0.835761,2177,406,0.000000
151,29.770000,2.417166,1.250674,0.845200,0.599385,0.853437,1693,435,0.000000
152,31.110000,2.414288,0.795526,0.822000,0.777129,0.884275,916,418,0.000000
153,22.880000,2.547595,0.924880,0.778600,0.671462,0.850911,1279,458,0.000000
154,36.650000,2.333131,1.075984,0.826800,0.683599,0.873300,1308,410,0.000000
155,32.120000,2.414475,1.351826,0.870600,0.492074,0.865105,2211,334,0.000000
156,29.050000,2.469707,1.011658,0.792600,0.702750,0.839867,1178,531,0.000000
157,31.250000,2.388367,0.976682,0.818200,0.680763,0.922185,1306,235,0.000000
158,30.520000,2.443490,1.136711,0.820200,0.636918,0.877688,1489,364,0.000000
159,32.140000,2.402048,0.675384,0.811200,0.831607,0.985105,683,51,0.000000
160,32.200000,2.400456,0.874527,0.849800,0.736644,0.917351,1119,282,0.000000
161,37.760000,2.303390,0.982698,0.810600,0.647668,0.934829,1428,183,0.000000
162,38.100000,2.296188,0.994147,0.835200,0.659004,0.945055,1424,160,0.000000
163,36.430000,2.331021,0.811149,0.814200,0.712847,0.868862,1169,438,0.000000
164,28.020000,2.487796,0.902995,0.818600,0.671146,0.975497,1346,69,0.000000
165,33.210000,2.421628,0.671893,0.766200,0.806317,0.886625,742,395,0.000000
166,31.160000,2.432629,1.306130,0.863400,0.514478,0.916254,2096,203,0.000000
167,30.210000,2.462623,1.065030,0.894200,0.649295,0.987415,1568,37,0.000000
168,27.910000,2.431584,0.651161,0.827200,0.803433,0.969370,813,105,0.000000
169,35.550000,2.355273,1.006928,0.881400,0.662128,0.964947,1489,106,0.000000
170,36.050000,2.341097,0.759784,0.864000,0.739352,0.925261,1126,258,0.000000
171,31.400000,2.443031,1.401387,0.838000,0.488067,0.814092,2145,467,0.000000
172,25.670000,2.522590,1.406408,0.826200,0.496006,0.764552,2082,631,0.000000
173,29.050000,2.543418,0.713075,0.861200,0.790060,0.970890,904,102,0.000000
174,29.330000,2.594957,0.926061,0.848800,0.686145,0.905473,1332,304,0.000000
175,32.560000,2.426584,1.271397,0.834600,0.577283,0.831837,1764,487,0.000000
176,34.380000,2.379966,0.765803,0.800800,0.793457,0.881521,827,427,0.000000
177,32.950000,2.394620,0.992181,0.827400,0.683104,0.956022,1311,130,0.000000
178,35.830000,2.389538,1.117833,0.882400,0.634633,0.957592,1612,124,0.000000
179,36.590000,2.346782,0.783953,0.776200,0.759083,0.825673,935,622,0.000000
180,34.750000,2.396546,1.291725,0.898200,0.546872,0.950464,2035,128,0.000000
181,38.930000,2.347842,0.735669,0.871200,0.797750,0.990593,881,33,0.000000
182,31.930000,2.456576,1.385806,0.886600,0.536882,0.904255,2053,252,0.000000
183,34.180000,2.416681,0.941708,0.839600,0.722725,0.891304,1164,370,0.000000
184,31.270000,2.433491,1.523316,0.882000,0.460544,0.859137,2379,333,0.000000
185,31.900000,2.466280,1.295733,0.898200,0.605878,0.900993,1770,299,0.000000
