epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,selection_precision,selection_recall,false_clean,missed_clean,neighbor_net2_used_ratio
0,19.540000,2.261190,1.590966,1.000000,-1.000000,-1.000000,0,0,-1.000000
1,21.630000,2.152753,1.619283,1.000000,-1.000000,-1.000000,0,0,-1.000000
2,18.800000,2.196378,1.439170,1.000000,-1.000000,-1.000000,0,0,-1.000000
3,26.760000,2.111888,1.571355,1.000000,-1.000000,-1.000000,0,0,-1.000000
4,27.210000,2.119942,1.647172,1.000000,-1.000000,-1.000000,0,0,-1.000000
5,28.030000,2.121564,1.905818,1.000000,-1.000000,-1.000000,0,0,-1.000000
6,27.940000,2.084076,1.595686,1.000000,-1.000000,-1.000000,0,0,-1.000000
7,24.930000,2.124863,1.410000,1.000000,-1.000000,-1.000000,0,0,-1.000000
8,28.810000,2.049098,1.127757,1.000000,-1.000000,-1.000000,0,0,-1.000000
9,19.820000,2.126974,1.543041,1.000000,-1.000000,-1.000000,0,0,-1.000000
10,20.280000,2.155530,1.587420,1.000000,-1.000000,-1.000000,0,0,-1.000000
11,25.210000,2.077127,1.561044,1.000000,-1.000000,-1.000000,0,0,-1.000000
12,26.050000,2.094788,1.690440,1.000000,-1.000000,-1.000000,0,0,-1.000000
13,24.770000,2.076090,1.483426,1.000000,-1.000000,-1.000000,0,0,-1.000000
14,24.680000,2.066318,1.307849,1.000000,-1.000000,-1.000000,0,0,-1.000000
15,20.640000,2.070972,1.476734,1.000000,-1.000000,-1.000000,0,0,-1.000000
16,32.050000,2.016267,1.281720,1.000000,-1.000000,-1.000000,0,0,-1.000000
17,32.640000,1.999396,1.641836,1.000000,-1.000000,-1.000000,0,0,-1.000000
18,24.980000,2.050466,1.659476,1.000000,-1.000000,-1.000000,0,0,-1.000000
19,31.410000,2.032473,1.671159,1.000000,-1.000000,-1.000000,0,0,-1.000000
20,32.660000,2.005225,1.384268,1.000000,-1.000000,-1.000000,0,0,-1.000000
21,35.190000,1.970741,1.504911,1.000000,-1.000000,-1.000000,0,0,-1.000000
22,27.760000,2.022980,1.483988,1.000000,-1.000000,-1.000000,0,0,-1.000000
23,30.470000,2.026166,1.498811,1.000000,-1.000000,-1.000000,0,0,-1.000000
24,30.070000,2.014572,1.498978,1.000000,-1.000000,-1.000000,0,0,-1.000000
25,31.210000,1.980877,1.347264,1.000000,-1.000000,-1.000000,0,0,-1.000000
26,30.120000,1.985467,1.483297,1.000000,-1.000000,-1.000000,0,0,-1.000000
27,32.650000,1.947999,1.355212,1.000000,-1.000000,-1.000000,0,0,-1.000000
28,33.410000,1.961881,1.515174,1.000000,-1.000000,-1.000000,0,0,-1.000000
29,32.870000,1.992674,1.404655,1.000000,-1.000000,-1.000000,0,0,-1.000000
30,24.010000,2.033026,1.253274,1.000000,-1.000000,-1.000000,0,0,-1.000000
31,29.020000,2.000469,1.468288,1.000000,-1.000000,-1.000000,0,0,-1.000000
32,32.780000,1.982881,1.647922,1.000000,-1.000000,-1.000000,0,0,-1.000000
33,32.110000,1.988801,1.677061,1.000000,-1.000000,-1.000000,0,0,-1.000000
34,33.980000,1.950401,1.271714,1.000000,-1.000000,-1.000000,0,0,-1.000000
35,32.620000,1.974820,1.567368,1.000000,-1.000000,-1.000000,0,0,-1.000000
