epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,selection_precision,selection_recall,false_clean,missed_clean,neighbor_net2_used_ratio
0,16.540000,2.304368,1.592704,1.000000,-1.000000,-1.000000,0,0,-1.000000
1,19.050000,2.241202,1.622439,1.000000,-1.000000,-1.000000,0,0,-1.000000
2,14.060000,2.290902,1.439763,1.000000,-1.000000,-1.000000,0,0,-1.000000
3,21.460000,2.183517,1.576824,1.000000,-1.000000,-1.000000,0,0,-1.000000
4,24.160000,2.218929,1.661280,1.000000,-1.000000,-1.000000,0,0,-1.000000
5,22.690000,2.197518,1.904466,1.000000,-1.000000,-1.000000,0,0,-1.000000
6,24.530000,2.149536,1.599193,1.000000,-1.000000,-1.000000,0,0,-1.000000
7,22.870000,2.178832,1.415709,1.000000,-1.000000,-1.000000,0,0,-1.000000
8,25.670000,2.105596,1.136322,1.000000,-1.000000,-1.000000,0,0,-1.000000
9,18.110000,2.132220,1.542738,1.000000,-1.000000,-1.000000,0,0,-1.000000
10,20.880000,2.188386,1.586390,1.000000,-1.000000,-1.000000,0,0,-1.000000
11,23.830000,2.114263,1.548147,1.000000,-1.000000,-1.000000,0,0,-1.000000
12,27.700000,2.096534,1.691522,1.000000,-1.000000,-1.000000,0,0,-1.000000
13,23.350000,2.115002,1.482401,1.000000,-1.000000,-1.000000,0,0,-1.000000
14,23.900000,2.104374,1.313807,1.000000,-1.000000,-1.000000,0,0,-1.000000
15,21.450000,2.110459,1.477299,1.000000,-1.000000,-1.000000,0,0,-1.000000
16,27.790000,2.055030,1.288035,1.000000,-1.000000,-1.000000,0,0,-1.000000
17,28.610000,2.029950,1.637829,1.000000,-1.000000,-1.000000,0,0,-1.000000
18,25.750000,2.054099,1.669884,1.000000,-1.000000,-1.000000,0,0,-1.000000
19,28.930000,2.055414,1.673873,1.000000,-1.000000,-1.000000,0,0,-1.000000
20,29.820000,2.048428,1.384603,1.000000,-1.000000,-1.000000,0,0,-1.000000
21,31.870000,2.036352,1.504588,1.000000,-1.000000,-1.000000,0,0,-1.000000
22,26.410000,2.062799,1.490033,1.000000,-1.000000,-1.000000,0,0,-1.000000
23,24.660000,2.094386,1.501789,1.000000,-1.000000,-1.000000,0,0,-1.000000
24,24.550000,2.054577,1.507096,1.000000,-1.000000,-1.000000,0,0,-1.000000
25,25.100000,2.062049,1.359525,1.000000,-1.000000,-1.000000,0,0,-1.000000
26,28.400000,2.035470,1.481230,1.000000,-1.000000,-1.000000,0,0,-1.000000
27,29.360000,2.038603,1.365500,1.000000,-1.000000,-1.000000,0,0,-1.000000
28,32.460000,1.978054,1.519781,1.000000,-1.000000,-1.000000,0,0,-1.000000
29,28.310000,2.032429,1.408021,1.000000,-1.000000,-1.000000,0,0,-1.000000
