epoch,client_id,set_name,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
103,84,fedrn,67,13,15,3,6,20,4,3,0,80
103,84,final,67,13,15,3,6,20,4,3,0,80
103,39,scoreA,133,0,1,1,0,2,1,1,141,4
103,39,fedrn,140,0,0,0,0,0,0,0,132,0
103,39,final,140,0,0,0,0,0,0,0,132,0
103,82,scoreA,6,18,7,6,77,6,21,3,65,18
103,82,fedrn,0,1,0,0,72,0,0,0,59,0
103,82,final,0,1,0,0,72,0,0,0,59,0
104,64,scoreA,1,1,189,2,3,2,0,0,6,2
104,64,fedrn,0,0,196,0,0,0,0,0,0,0
104,64,final,0,0,196,0,0,0,0,0,0,0
104,80,scoreA,7,10,8,3,12,4,124,10,6,15
104,80,fedrn,0,1,0,0,0,0,132,0,1,0
104,80,final,0,1,0,0,0,0,132,0,1,0
104,31,scoreA,129,150,0,1,0,0,0,0,0,1
104,31,fedrn,143,151,0,0,0,0,0,0,0,0
104,31,final,143,151,0,0,0,0,0,0,0,0
104,23,scoreA,2,164,2,0,3,158,0,1,1,0
104,23,fedrn,0,170,0,0,0,156,0,0,0,0
104,23,final,0,170,0,0,0,156,0,0,0,0
104,20,scoreA,0,1,159,0,0,0,1,134,0,0
104,20,fedrn,0,0,170,0,0,0,0,154,0,0
104,20,final,0,0,170,0,0,0,0,154,0,0
104,60,scoreA,2,4,205,1,0,1,0,1,0,3
104,60,fedrn,0,0,208,0,0,0,0,0,0,0
104,60,final,0,0,208,0,0,0,0,0,0,0
104,68,scoreA,0,0,0,0,0,0,93,0,0,88
104,68,fedrn,0,0,0,0,0,0,95,0,0,87
104,68,final,0,0,0,0,0,0,95,0,0,87
104,25,scoreA,0,3,0,158,0,0,0,0,140,0
104,25,fedrn,0,0,0,160,0,0,0,0,143,0
104,25,final,0,0,0,160,0,0,0,0,143,0
104,98,scoreA,0,20,22,8,65,62,3,13,16,33
104,98,fedrn,0,5,8,3,63,63,0,6,6,20
104,98,final,0,5,8,3,63,63,0,6,6,20
104,24,scoreA,0,1,0,0,172,137,1,0,0,0
104,24,fedrn,0,0,0,0,175,137,0,0,0,0
104,24,final,0,0,0,0,175,137,0,0,0,0
105,15,scoreA,0,0,0,0,0,148,0,166,0,0
105,15,fedrn,0,0,0,0,0,167,0,168,0,0
105,15,final,0,0,0,0,0,167,0,168,0,0
105,5,scoreA,175,0,0,0,0,0,187,0,0,0
105,5,fedrn,183,0,0,0,0,0,184,0,0,0
105,5,final,183,0,0,0,0,0,184,0,0,0
105,48,scoreA,2,4,5,108,125,4,4,4,3,7
105,48,fedrn,0,0,0,129,125,0,0,0,0,0
105,48,final,0,0,0,129,125,0,0,0,0,0
