epoch,phase,selected_client_count,selected_net2_current_holdout_acc_avg,selected_net2_best_holdout_acc_avg,selected_net2_best_epoch_avg
127,fedrn_stable,10,64.700000,80.900000,28.100000
128,fedrn_stable,10,79.000000,86.600000,36.900000
129,fedrn_stable,10,70.000000,83.700000,23.600000
130,fedrn_stable,10,66.500000,79.600000,32.400000
131,fedrn_stable,10,70.900000,80.900000,33.700000
132,fedrn_stable,10,68.700000,84.300000,23.500000
133,fedrn_stable,10,64.500000,77.200000,29.800000
134,fedrn_stable,10,57.800000,71.800000,23.200000
135,fedrn_stable,10,73.200000,87.400000,21.700000
136,fedrn_stable,10,67.200000,79.700000,39.900000
137,fedrn_stable,10,65.900000,82.300000,22.900000
138,fedrn_stable,10,64.400000,77.800000,33.700000
139,fedrn_stable,10,62.300000,74.200000,34.900000
140,fedrn_stable,10,65.800000,75.800000,31.700000
141,fedrn_stable,10,59.000000,68.400000,32.200000
142,fedrn_stable,10,75.000000,86.500000,44.000000
143,fedrn_stable,10,68.600000,81.500000,33.400000
144,fedrn_stable,10,64.700000,78.900000,32.200000
145,fedrn_stable,10,78.000000,87.300000,34.300000
146,fedrn_stable,10,68.800000,81.200000,38.900000
147,fedrn_stable,10,67.800000,82.700000,26.600000
148,fedrn_stable,10,71.200000,81.400000,32.900000
149,fedrn_stable,10,62.300000,78.300000,28.900000
150,fedrn_stable,10,53.900000,64.100000,41.400000
151,fedrn_stable,10,64.900000,79.500000,33.000000
152,fedrn_stable,10,81.100000,89.300000,40.800000
153,fedrn_stable,10,76.200000,84.200000,33.600000
154,fedrn_stable,10,75.400000,86.600000,35.000000
155,fedrn_stable,10,55.000000,71.500000,29.900000
156,fedrn_stable,10,72.400000,81.900000,46.500000
157,fedrn_stable,10,67.500000,80.200000,38.700000
158,fedrn_stable,10,74.600000,85.500000,35.400000
159,fedrn_stable,10,75.100000,87.300000,50.100000
160,fedrn_stable,10,77.600000,87.100000,37.500000
161,fedrn_stable,10,68.600000,76.600000,38.500000
162,fedrn_stable,10,71.500000,81.000000,35.500000
163,fedrn_stable,10,74.500000,85.000000,31.100000
164,fedrn_stable,10,69.300000,80.600000,31.600000
165,fedrn_stable,10,77.600000,86.900000,35.900000
166,fedrn_stable,10,58.100000,75.200000,20.000000
167,fedrn_stable,10,67.400000,80.900000,36.300000
168,fedrn_stable,10,75.700000,86.400000,34.300000
169,fedrn_stable,10,68.400000,81.000000,27.100000
170,fedrn_stable,10,74.500000,88.100000,47.400000
171,fedrn_stable,10,60.200000,75.100000,22.900000
172,fedrn_stable,10,68.200000,84.900000,28.100000
173,fedrn_stable,10,83.400000,87.100000,47.600000
174,fedrn_stable,10,77.300000,86.500000,46.000000
175,fedrn_stable,10,70.300000,82.600000,32.800000
176,fedrn_stable,10,75.600000,86.200000,36.700000
177,fedrn_stable,10,66.000000,84.100000,40.400000
178,fedrn_stable,10,63.600000,81.000000,34.800000
179,fedrn_stable,10,77.200000,87.800000,40.200000
180,fedrn_stable,10,64.200000,77.100000,36.700000
181,fedrn_stable,10,79.900000,87.200000,32.200000
182,fedrn_stable,10,61.600000,73.300000,28.300000
183,fedrn_stable,10,73.800000,83.800000,30.600000
184,fedrn_stable,10,54.500000,75.600000,25.200000
185,fedrn_stable,10,77.800000,86.800000,22.500000
186,fedrn_stable,10,77.700000,86.500000,50.700000
187,fedrn_stable,10,62.600000,75.100000,50.100000
188,fedrn_stable,10,60.200000,71.400000,37.300000
189,fedrn_stable,10,75.800000,83.800000,44.200000
190,fedrn_stable,10,71.800000,81.000000,37.300000
191,fedrn_stable,10,65.000000,80.000000,50.200000
192,fedrn_stable,10,73.000000,84.300000,46.800000
193,fedrn_stable,10,71.200000,82.100000,46.500000
194,fedrn_stable,10,78.700000,90.000000,41.400000
195,fedrn_stable,10,64.000000,76.000000,46.100000
196,fedrn_stable,10,71.300000,81.800000,34.900000
197,fedrn_stable,10,61.200000,74.000000,32.700000
198,fedrn_stable,10,76.500000,87.000000,33.500000
199,fedrn_stable,10,61.700000,78.500000,23.600000
200,fedrn_stable,10,71.200000,82.300000,41.000000
201,fedrn_stable,10,70.400000,78.800000,32.500000
202,fedrn_stable,10,71.400000,80.200000,34.800000
203,fedrn_stable,10,64.600000,79.700000,35.800000
204,fedrn_stable,10,64.700000,82.900000,25.600000
205,fedrn_stable,10,67.900000,86.200000,25.200000
206,fedrn_stable,10,66.500000,82.300000,41.100000
207,fedrn_stable,10,66.500000,80.100000,36.500000
208,fedrn_stable,10,81.600000,85.800000,47.700000
209,fedrn_stable,10,61.400000,77.800000,33.100000
210,fedrn_stable,10,75.600000,84.700000,25.400000
211,fedrn_stable,10,63.300000,78.400000,35.500000
212,fedrn_stable,10,75.100000,87.300000,28.800000
213,fedrn_stable,10,73.700000,85.000000,27.400000
214,fedrn_stable,10,69.900000,80.000000,33.300000
215,fedrn_stable,10,67.300000,79.800000,35.000000
216,fedrn_stable,10,70.500000,82.500000,28.000000
217,fedrn_stable,10,66.500000,77.300000,39.500000
218,fedrn_stable,10,64.500000,75.700000,25.700000
219,fedrn_stable,10,65.500000,79.400000,25.800000
220,fedrn_stable,10,74.500000,80.600000,42.600000
221,fedrn_stable,10,71.700000,82.200000,43.800000
222,fedrn_stable,10,66.500000,77.000000,38.200000
223,fedrn_stable,10,64.400000,77.700000,30.900000
224,fedrn_stable,10,68.900000,84.300000,36.900000
225,fedrn_stable,10,64.200000,80.600000,27.900000
226,fedrn_stable,10,70.200000,78.900000,27.100000
227,fedrn_stable,10,73.600000,83.100000,30.900000
228,fedrn_stable,10,64.600000,73.500000,40.500000
229,fedrn_stable,10,70.800000,81.600000,30.100000
230,fedrn_stable,10,70.800000,84.100000,33.800000
231,fedrn_stable,10,71.900000,83.200000,36.600000
232,fedrn_stable,10,69.400000,81.600000,33.400000
233,fedrn_stable,10,66.000000,79.400000,46.600000
234,fedrn_stable,10,56.600000,71.900000,39.100000
235,fedrn_stable,10,78.300000,89.900000,33.700000
236,fedrn_stable,10,51.700000,66.800000,24.200000
237,fedrn_stable,10,70.500000,80.300000,37.500000
238,fedrn_stable,10,71.000000,82.200000,23.400000
239,fedrn_stable,10,74.100000,82.600000,39.600000
240,fedrn_stable,10,79.700000,92.400000,31.300000
241,fedrn_stable,10,70.900000,83.700000,20.200000
242,fedrn_stable,10,74.000000,89.600000,46.200000
243,fedrn_stable,10,69.600000,84.000000,31.700000
244,fedrn_stable,10,73.600000,86.700000,14.500000
245,fedrn_stable,10,77.400000,86.200000,36.600000
246,fedrn_stable,10,67.300000,77.800000,35.500000
247,fedrn_stable,10,70.000000,82.300000,33.800000
248,fedrn_stable,10,67.200000,80.600000,31.400000
249,fedrn_stable,10,70.400000,82.700000,43.300000
250,fedrn_stable,10,69.900000,83.800000,29.900000
251,fedrn_stable,10,50.800000,68.200000,30.200000
252,fedrn_stable,10,81.300000,87.900000,50.900000
253,fedrn_stable,10,67.800000,77.300000,38.400000
254,fedrn_stable,10,66.900000,83.100000,26.500000
255,fedrn_stable,10,67.400000,78.500000,44.400000
256,fedrn_stable,10,73.500000,83.500000,41.700000
257,fedrn_stable,10,61.700000,76.800000,30.100000
258,fedrn_stable,10,73.800000,84.300000,29.200000
259,fedrn_stable,10,61.100000,78.600000,24.500000
260,fedrn_stable,10,62.300000,78.900000,23.600000
261,fedrn_stable,10,71.200000,80.300000,37.500000
262,fedrn_stable,10,75.100000,85.400000,38.700000
263,fedrn_stable,10,77.400000,85.600000,31.100000
264,fedrn_stable,10,72.100000,80.700000,23.000000
265,fedrn_stable,10,68.200000,83.300000,28.100000
266,fedrn_stable,10,67.200000,76.000000,31.200000
267,fedrn_stable,10,70.500000,87.100000,26.600000
268,fedrn_stable,10,65.500000,78.500000,32.400000
269,fedrn_stable,10,70.100000,83.200000,34.800000
270,fedrn_stable,10,66.600000,79.400000,30.000000
271,fedrn_stable,10,66.600000,81.000000,25.300000
272,fedrn_stable,10,75.600000,81.700000,28.400000
273,fedrn_stable,10,57.600000,77.700000,30.300000
274,fedrn_stable,10,63.700000,74.500000,31.300000
275,fedrn_stable,10,70.900000,84.000000,34.400000
276,fedrn_stable,10,68.400000,82.200000,42.400000
277,fedrn_stable,10,74.300000,86.000000,36.100000
278,fedrn_stable,10,69.000000,79.400000,33.000000
279,fedrn_stable,10,77.600000,87.200000,40.300000
280,fedrn_stable,10,77.600000,85.000000,30.900000
281,fedrn_stable,10,64.700000,75.600000,31.300000
282,fedrn_stable,10,68.400000,80.800000,30.000000
283,fedrn_stable,10,63.500000,81.100000,26.200000
284,fedrn_stable,10,68.900000,78.100000,34.000000
285,fedrn_stable,10,76.700000,88.400000,37.100000
286,fedrn_stable,10,67.300000,83.100000,22.900000
287,fedrn_stable,10,60.800000,75.900000,36.200000
288,fedrn_stable,10,60.100000,72.500000,37.700000
289,fedrn_stable,10,68.900000,82.800000,38.100000
290,fedrn_stable,10,75.300000,85.300000,40.100000
291,fedrn_stable,10,83.300000,90.700000,27.400000
292,fedrn_stable,10,72.100000,85.800000,29.400000
293,fedrn_stable,10,61.300000,81.200000,26.000000
294,fedrn_stable,10,68.900000,83.100000,28.300000
295,fedrn_stable,10,67.600000,81.500000,34.500000
296,fedrn_stable,10,66.700000,82.200000,20.400000
297,fedrn_stable,10,62.400000,77.600000,28.700000
298,fedrn_stable,10,61.100000,75.100000,20.000000
299,fedrn_stable,10,63.800000,76.000000,30.800000
300,fedrn_stable,10,63.200000,78.400000,22.300000
301,fedrn_stable,10,64.600000,80.700000,26.000000
302,fedrn_stable,10,61.700000,79.500000,23.800000
303,fedrn_stable,10,61.800000,77.600000,18.700000
304,fedrn_stable,10,68.100000,77.100000,32.000000
305,fedrn_stable,10,65.200000,79.700000,32.400000
306,fedrn_stable,10,67.900000,75.000000,34.300000
307,fedrn_stable,10,79.300000,87.300000,43.500000
308,fedrn_stable,10,68.300000,81.900000,30.200000
309,fedrn_stable,10,72.600000,85.900000,28.600000
310,fedrn_stable,10,72.000000,83.700000,28.900000
311,fedrn_stable,10,56.800000,74.300000,29.000000
312,fedrn_stable,10,74.300000,83.700000,38.900000
313,fedrn_stable,10,66.300000,78.800000,44.500000
314,fedrn_stable,10,60.700000,79.900000,22.400000
315,fedrn_stable,10,71.600000,83.700000,25.500000
316,fedrn_stable,10,67.300000,81.700000,35.400000
317,fedrn_stable,10,77.100000,86.400000,21.700000
318,fedrn_stable,10,57.400000,68.300000,34.600000
319,fedrn_stable,10,71.800000,83.900000,35.200000
320,fedrn_stable,10,63.100000,74.900000,42.600000
321,fedrn_stable,10,61.600000,75.000000,25.200000
322,fedrn_stable,10,68.400000,84.800000,21.100000
323,fedrn_stable,10,68.100000,82.800000,36.300000
324,fedrn_stable,10,73.000000,82.800000,45.100000
325,fedrn_stable,10,71.600000,83.500000,33.100000
326,fedrn_stable,10,71.300000,83.900000,34.000000
327,fedrn_stable,10,66.000000,80.400000,33.900000
328,fedrn_stable,10,76.500000,86.700000,20.500000
329,fedrn_stable,10,59.500000,78.000000,32.800000
330,fedrn_stable,10,74.400000,83.400000,30.700000
331,fedrn_stable,10,68.100000,83.700000,19.900000
332,fedrn_stable,10,74.300000,84.500000,41.200000
333,fedrn_stable,10,66.100000,81.300000,26.600000
334,fedrn_stable,10,74.500000,84.500000,26.700000
335,fedrn_stable,10,71.600000,81.500000,36.500000
336,fedrn_stable,10,71.600000,82.900000,30.100000
337,fedrn_stable,10,69.700000,83.300000,33.300000
338,fedrn_stable,10,70.800000,81.500000,24.800000
339,fedrn_stable,10,66.200000,75.800000,50.200000
340,fedrn_stable,10,64.400000,77.300000,32.200000
341,fedrn_stable,10,78.900000,89.100000,40.600000
342,fedrn_stable,10,71.600000,85.200000,32.700000
343,fedrn_stable,10,67.100000,81.100000,20.500000
344,fedrn_stable,10,65.300000,81.300000,31.400000
345,fedrn_stable,10,63.300000,75.100000,30.700000
346,fedrn_stable,10,64.800000,80.900000,30.500000
347,fedrn_stable,10,70.900000,78.900000,32.800000
348,fedrn_stable,10,71.000000,83.200000,47.100000
349,fedrn_stable,10,53.600000,76.500000,27.200000
350,fedrn_stable,10,67.200000,80.800000,28.600000
351,fedrn_stable,10,66.300000,82.100000,39.600000
352,fedrn_stable,10,60.300000,74.200000,31.200000
353,fedrn_stable,10,70.000000,81.800000,39.300000
354,fedrn_stable,10,70.200000,81.800000,36.800000
355,fedrn_stable,10,67.200000,75.100000,34.600000
356,fedrn_stable,10,73.500000,84.600000,37.700000
357,fedrn_stable,10,63.200000,76.900000,40.000000
358,fedrn_stable,10,66.000000,77.100000,27.700000
359,fedrn_stable,10,67.400000,84.900000,29.900000
360,fedrn_stable,10,71.100000,84.100000,25.300000
361,fedrn_stable,10,66.900000,79.800000,29.500000
362,fedrn_stable,10,58.500000,70.900000,25.000000
363,fedrn_stable,10,51.400000,72.700000,13.200000
364,fedrn_stable,10,62.200000,76.600000,37.300000
365,fedrn_stable,10,74.400000,84.400000,45.900000
366,fedrn_stable,10,74.400000,83.500000,34.200000
367,fedrn_stable,10,72.300000,81.200000,45.900000
368,fedrn_stable,10,78.900000,87.300000,34.300000
369,fedrn_stable,10,69.900000,80.000000,28.900000
370,fedrn_stable,10,72.400000,86.300000,45.900000
371,fedrn_stable,10,67.100000,83.200000,26.600000
372,fedrn_stable,10,65.100000,79.500000,32.400000
373,fedrn_stable,10,67.200000,80.800000,25.100000
374,fedrn_stable,10,74.700000,87.900000,45.800000
375,fedrn_stable,10,75.500000,84.100000,40.000000
376,fedrn_stable,10,64.000000,77.000000,24.200000
377,fedrn_stable,10,71.600000,82.200000,42.800000
378,fedrn_stable,10,69.800000,84.600000,36.600000
379,fedrn_stable,10,67.500000,76.500000,27.900000
380,fedrn_stable,10,61.200000,76.700000,37.000000
381,fedrn_stable,10,61.800000,81.700000,18.400000
382,fedrn_stable,10,59.600000,75.800000,25.500000
383,fedrn_stable,10,74.600000,84.000000,39.000000
384,fedrn_stable,10,67.300000,79.400000,25.800000
385,fedrn_stable,10,72.100000,83.700000,35.700000
386,fedrn_stable,10,63.500000,78.900000,30.300000
387,fedrn_stable,10,73.800000,88.300000,22.100000
388,fedrn_stable,10,66.300000,81.700000,29.700000
389,fedrn_stable,10,61.700000,74.000000,43.300000
390,fedrn_stable,10,76.000000,85.000000,48.800000
391,fedrn_stable,10,66.800000,82.700000,24.100000
392,fedrn_stable,10,67.100000,77.600000,39.400000
393,fedrn_stable,10,65.600000,77.600000,23.300000
394,fedrn_stable,10,66.500000,77.300000,34.700000
395,fedrn_stable,10,61.000000,81.100000,27.200000
396,fedrn_stable,10,77.800000,87.500000,38.800000
397,fedrn_stable,10,71.700000,83.600000,39.600000
398,fedrn_stable,10,65.600000,81.000000,36.800000
399,fedrn_stable,10,79.000000,86.800000,40.900000
400,fedrn_stable,10,68.700000,83.100000,26.700000
401,fedrn_stable,10,66.700000,79.200000,33.600000
402,fedrn_stable,10,72.100000,85.100000,44.100000
403,fedrn_stable,10,74.400000,84.500000,21.900000
404,fedrn_stable,10,68.700000,80.100000,38.200000
405,fedrn_stable,10,70.200000,80.500000,28.500000
406,fedrn_stable,10,68.000000,81.200000,34.400000
407,fedrn_stable,10,66.600000,80.100000,48.700000
408,fedrn_stable,10,65.400000,80.600000,30.000000
409,fedrn_stable,10,70.700000,84.900000,26.000000
410,fedrn_stable,10,65.800000,77.300000,26.400000
411,fedrn_stable,10,73.400000,82.300000,30.900000
412,fedrn_stable,10,61.100000,81.200000,33.300000
413,fedrn_stable,10,67.200000,83.100000,36.600000
414,fedrn_stable,10,65.600000,77.600000,34.100000
415,fedrn_stable,10,61.500000,72.600000,23.800000
416,fedrn_stable,10,56.500000,72.600000,34.200000
417,fedrn_stable,10,63.800000,77.600000,29.200000
418,fedrn_stable,10,65.100000,79.300000,25.600000
419,fedrn_stable,10,60.900000,73.900000,29.900000
420,fedrn_stable,10,73.800000,83.700000,34.800000
421,fedrn_stable,10,57.200000,74.900000,29.900000
422,fedrn_stable,10,60.100000,74.100000,30.400000
423,fedrn_stable,10,59.400000,75.100000,28.300000
424,fedrn_stable,10,58.000000,77.500000,28.300000
425,fedrn_stable,10,64.800000,79.900000,24.800000
426,fedrn_stable,10,61.400000,78.900000,36.500000
427,fedrn_stable,10,84.100000,91.400000,39.000000
428,fedrn_stable,10,65.700000,79.700000,41.000000
429,fedrn_stable,10,62.000000,80.700000,30.000000
430,fedrn_stable,10,68.900000,82.700000,37.800000
431,fedrn_stable,10,73.300000,83.900000,36.100000
432,fedrn_stable,10,83.300000,89.300000,43.600000
433,fedrn_stable,10,54.700000,72.300000,29.200000
434,fedrn_stable,10,61.700000,75.600000,25.300000
435,fedrn_stable,10,58.700000,75.200000,42.600000
436,fedrn_stable,10,67.500000,84.500000,24.900000
437,fedrn_stable,10,71.200000,81.900000,46.300000
438,fedrn_stable,10,77.100000,86.100000,33.900000
439,fedrn_stable,10,68.600000,82.900000,27.000000
440,fedrn_stable,10,71.700000,82.500000,45.200000
441,fedrn_stable,10,72.600000,82.800000,32.500000
442,fedrn_stable,10,73.900000,84.700000,23.300000
443,fedrn_stable,10,77.300000,84.900000,36.200000
444,fedrn_stable,10,62.800000,75.000000,33.000000
445,fedrn_stable,10,66.200000,80.000000,19.100000
446,fedrn_stable,10,59.500000,75.100000,25.900000
447,fedrn_stable,10,62.300000,76.100000,22.400000
448,fedrn_stable,10,63.800000,79.100000,24.900000
449,fedrn_stable,10,66.900000,78.600000,37.500000
450,fedrn_stable,10,82.800000,89.300000,32.200000
451,fedrn_stable,10,81.300000,86.900000,40.200000
452,fedrn_stable,10,76.700000,87.200000,52.600000
453,fedrn_stable,10,71.800000,81.100000,30.500000
454,fedrn_stable,10,74.400000,82.300000,35.700000
455,fedrn_stable,10,77.200000,88.400000,41.300000
456,fedrn_stable,10,65.800000,80.200000,31.600000
457,fedrn_stable,10,72.600000,83.200000,42.600000
458,fedrn_stable,10,64.200000,80.300000,38.700000
459,fedrn_stable,10,60.400000,79.500000,27.800000
460,fedrn_stable,10,71.800000,79.000000,45.600000
461,fedrn_stable,10,72.800000,83.800000,24.800000
462,fedrn_stable,10,77.200000,87.300000,44.800000
463,fedrn_stable,10,66.600000,80.000000,17.600000
464,fedrn_stable,10,73.800000,84.300000,27.100000
465,fedrn_stable,10,73.700000,85.200000,36.800000
466,fedrn_stable,10,65.200000,82.700000,45.600000
467,fedrn_stable,10,81.600000,89.000000,26.100000
468,fedrn_stable,10,69.600000,80.700000,41.500000
469,fedrn_stable,10,73.400000,81.900000,30.300000
470,fedrn_stable,10,79.900000,88.100000,26.400000
471,fedrn_stable,10,65.700000,78.600000,31.200000
472,fedrn_stable,10,76.500000,88.200000,48.700000
473,fedrn_stable,10,68.200000,83.900000,42.100000
474,fedrn_stable,10,70.400000,81.300000,28.000000
475,fedrn_stable,10,71.800000,85.800000,38.500000
476,fedrn_stable,10,69.800000,78.400000,23.500000
477,fedrn_stable,10,68.100000,78.300000,22.300000
478,fedrn_stable,10,64.300000,78.400000,28.900000
479,fedrn_stable,10,75.400000,86.000000,36.000000
480,fedrn_stable,10,75.500000,83.400000,35.600000
481,fedrn_stable,10,61.000000,73.300000,34.800000
482,fedrn_stable,10,72.400000,87.200000,43.000000
483,fedrn_stable,10,68.000000,79.200000,21.000000
484,fedrn_stable,10,79.700000,90.900000,44.100000
485,fedrn_stable,10,59.000000,76.000000,23.400000
486,fedrn_stable,10,68.400000,80.900000,39.400000
487,fedrn_stable,10,65.600000,81.100000,17.400000
488,fedrn_stable,10,50.700000,69.600000,29.900000
489,fedrn_stable,10,74.000000,82.200000,25.500000
490,fedrn_stable,10,62.500000,76.800000,24.800000
491,fedrn_stable,10,79.900000,89.100000,24.000000
492,fedrn_stable,10,67.600000,80.800000,24.200000
493,fedrn_stable,10,62.100000,80.300000,19.800000
494,fedrn_stable,10,63.400000,82.700000,27.000000
495,fedrn_stable,10,78.600000,90.600000,33.100000
496,fedrn_stable,10,68.700000,81.900000,40.800000
497,fedrn_stable,10,73.600000,81.100000,35.600000
498,fedrn_stable,10,57.400000,72.900000,21.300000
499,fedrn_stable,10,65.900000,79.400000,24.400000
