epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,clean_ratio,agreement_ratio
0,1.432449,17.140000,2.368227,15.570000,2.348455,1.000000,0.000000
1,1.458531,19.620000,2.218338,19.910000,2.194033,1.000000,0.000000
2,1.379466,14.820000,2.272047,26.460000,2.030491,1.000000,0.000000
3,1.380379,23.340000,2.151421,31.340000,1.895576,1.000000,0.000000
4,1.447841,24.800000,2.162907,35.510000,1.778558,1.000000,0.000000
5,1.594230,22.210000,2.161333,38.620000,1.704864,1.000000,0.000000
6,1.390510,24.080000,2.123847,41.570000,1.640587,1.000000,0.000000
7,1.275213,22.110000,2.160821,44.370000,1.562586,1.000000,0.000000
8,1.175500,26.740000,2.077203,47.610000,1.460209,1.000000,0.000000
9,1.348172,22.330000,2.054337,51.020000,1.376180,1.000000,0.000000
10,1.422509,18.880000,2.193938,51.750000,1.363513,1.000000,0.000000
11,1.401429,25.950000,2.052428,53.410000,1.289370,1.000000,0.000000
12,1.465595,26.650000,2.018651,55.310000,1.244152,1.000000,0.000000
13,1.336676,25.960000,2.005346,56.320000,1.216841,1.000000,0.000000
14,1.216256,20.800000,2.072429,57.910000,1.180729,1.000000,0.000000
15,1.383012,20.090000,2.052787,59.780000,1.119195,1.000000,0.000000
16,1.226645,27.920000,2.022278,60.020000,1.101707,1.000000,0.000000
17,1.442788,30.790000,1.958876,61.480000,1.076834,1.000000,0.000000
18,1.446392,25.880000,1.986041,63.800000,1.036661,1.000000,0.000000
19,1.463735,33.610000,1.937407,64.820000,1.016237,1.000000,0.000000
20,1.295296,30.510000,1.960117,66.380000,0.988534,1.000000,0.000000
21,1.323610,34.780000,1.926442,68.520000,0.925384,1.000000,0.000000
22,1.327439,25.160000,2.034717,69.250000,0.915117,1.000000,0.000000
23,1.379557,30.500000,1.944533,69.040000,0.917684,1.000000,0.000000
24,1.343905,32.560000,1.914473,69.710000,0.887680,1.000000,0.000000
25,1.224223,31.880000,1.902811,70.170000,0.874465,1.000000,0.000000
26,1.373271,29.970000,1.944678,70.270000,0.875744,1.000000,0.000000
27,1.283919,27.610000,1.921621,70.620000,0.851437,1.000000,0.000000
28,1.361634,30.670000,1.935746,72.390000,0.835805,1.000000,0.000000
29,1.310651,32.040000,1.909805,71.570000,0.835232,1.000000,0.000000
30,1.210123,25.400000,1.968667,72.380000,0.829675,1.000000,0.000000
31,1.341361,32.490000,1.919139,72.240000,0.811421,1.000000,0.000000
32,1.455072,33.610000,1.887703,73.750000,0.802303,1.000000,0.000000
33,1.502445,33.000000,1.896748,73.170000,0.808900,1.000000,0.000000
34,1.154668,36.380000,1.868865,74.760000,0.777549,1.000000,0.000000
35,1.384248,33.550000,1.892392,75.080000,0.768774,1.000000,0.000000
36,1.196619,24.310000,1.995492,75.090000,0.754956,1.000000,0.000000
37,1.328616,30.760000,1.884421,75.810000,0.738813,1.000000,0.000000
