epoch,train_loss,global_train_acc,global_train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,clean_ratio,agreement_ratio,selected_total_count,global_train_count,train_ratio,pred_clean_count,pred_noisy_count,true_clean_count,true_noise_count,actual_train_clean_count,actual_train_clean_ratio,clean_recall,missed_clean_count,false_clean_count,true_noise_rejected_count,total_wrong_count,missed_clean_ratio,false_clean_ratio
26,1.058417,26.542000,2.063631,31.950000,1.915748,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4104,896,4104,0.820800,1.000000,0,896,0,896,0.000000,1.000000
27,0.955754,27.934000,2.024083,31.130000,1.903016,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4162,838,4162,0.832400,1.000000,0,838,0,838,0.000000,1.000000
28,1.051595,29.886000,2.026981,37.030000,1.866991,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3984,1016,3984,0.796800,1.000000,0,1016,0,1016,0.000000,1.000000
29,0.966556,28.792000,2.014385,34.390000,1.882087,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4132,868,4132,0.826400,1.000000,0,868,0,868,0.000000,1.000000
30,0.884835,25.558000,2.059248,28.060000,1.942702,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4252,748,4252,0.850400,1.000000,0,748,0,748,0.000000,1.000000
31,1.018018,29.952000,2.008496,33.050000,1.884655,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4074,926,4074,0.814800,1.000000,0,926,0,926,0.000000,1.000000
32,1.163504,29.894000,2.003507,35.680000,1.870207,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3894,1106,3894,0.778800,1.000000,0,1106,0,1106,0.000000,1.000000
33,1.182180,29.072000,2.025621,33.950000,1.919560,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3898,1102,3898,0.779600,1.000000,0,1102,0,1102,0.000000,1.000000
34,0.848361,31.624000,1.988747,38.090000,1.847898,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4248,752,4248,0.849600,1.000000,0,752,0,752,0.000000,1.000000
35,1.084777,29.012000,2.025631,34.730000,1.894249,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3954,1046,3954,0.790800,1.000000,0,1046,0,1046,0.000000,1.000000
36,0.896970,21.368000,2.124611,25.600000,1.965862,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4214,786,4214,0.842800,1.000000,0,786,0,786,0.000000,1.000000
37,0.991905,27.896000,2.011040,35.790000,1.833197,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4098,902,4098,0.819600,1.000000,0,902,0,902,0.000000,1.000000
38,1.300740,32.072000,2.008614,40.600000,1.856980,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3574,1426,3574,0.714800,1.000000,0,1426,0,1426,0.000000,1.000000
39,1.044054,28.206000,2.031769,33.570000,1.920341,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4086,914,4086,0.817200,1.000000,0,914,0,914,0.000000,1.000000
40,0.977566,29.322000,1.992571,37.950000,1.829490,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4098,902,4098,0.819600,1.000000,0,902,0,902,0.000000,1.000000
41,1.011271,26.050000,2.045246,28.530000,1.903769,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4018,982,4018,0.803600,1.000000,0,982,0,982,0.000000,1.000000
42,0.994396,33.350000,1.971254,39.180000,1.843294,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4056,944,4056,0.811200,1.000000,0,944,0,944,0.000000,1.000000
43,0.973463,28.104000,2.029911,35.210000,1.863088,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4076,924,4076,0.815200,1.000000,0,924,0,924,0.000000,1.000000
44,1.064788,30.208000,1.983897,36.760000,1.823267,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3988,1012,3988,0.797600,1.000000,0,1012,0,1012,0.000000,1.000000
45,0.968538,28.720000,1.989731,34.990000,1.838187,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4102,898,4102,0.820400,1.000000,0,898,0,898,0.000000,1.000000
46,0.996959,27.366000,2.064707,32.740000,1.900539,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3936,1064,3936,0.787200,1.000000,0,1064,0,1064,0.000000,1.000000
47,0.887955,29.398000,2.003717,32.460000,1.864105,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,4198,802,4198,0.839600,1.000000,0,802,0,802,0.000000,1.000000
48,1.051332,30.108000,1.982870,35.170000,1.850269,0.000000,0.000000,1.000000,0.000000,5000,5000,1.000000,5000,0,3878,1122,3878,0.775600,1.000000,0,1122,0,1122,0.000000,1.000000
