epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,clean_ratio,agreement_ratio
0,1.253939,17.730000,2.325155,0.000000,0.000000,1.000000,0.000000
1,1.298236,19.070000,2.219446,0.000000,0.000000,1.000000,0.000000
2,1.192334,17.260000,2.213595,0.000000,0.000000,1.000000,0.000000
3,1.216867,25.500000,2.124839,0.000000,0.000000,1.000000,0.000000
4,1.313140,26.150000,2.128211,0.000000,0.000000,1.000000,0.000000
5,1.473550,24.330000,2.110117,0.000000,0.000000,1.000000,0.000000
6,1.242690,24.880000,2.080653,0.000000,0.000000,1.000000,0.000000
7,1.111453,22.860000,2.123945,0.000000,0.000000,1.000000,0.000000
8,0.962593,29.780000,2.030063,0.000000,0.000000,1.000000,0.000000
9,1.213790,22.580000,2.051454,0.000000,0.000000,1.000000,0.000000
10,1.244902,20.040000,2.157095,0.000000,0.000000,1.000000,0.000000
11,1.236688,27.220000,2.015401,0.000000,0.000000,1.000000,0.000000
12,1.333197,26.220000,1.997627,0.000000,0.000000,1.000000,0.000000
13,1.170993,27.260000,1.968013,0.000000,0.000000,1.000000,0.000000
14,1.041370,24.870000,1.996421,0.000000,0.000000,1.000000,0.000000
15,1.194349,20.410000,2.001298,0.000000,0.000000,1.000000,0.000000
16,1.026167,31.180000,1.945593,0.000000,0.000000,1.000000,0.000000
17,1.288814,34.780000,1.912340,0.000000,0.000000,1.000000,0.000000
18,1.293195,28.610000,1.941676,0.000000,0.000000,1.000000,0.000000
19,1.300043,34.190000,1.921074,0.000000,0.000000,1.000000,0.000000
20,1.118957,33.150000,1.916956,0.000000,0.000000,1.000000,0.000000
21,1.170604,37.970000,1.878805,0.000000,0.000000,1.000000,0.000000
22,1.168814,30.570000,1.957217,0.000000,0.000000,1.000000,0.000000
23,1.185163,32.990000,1.915176,0.000000,0.000000,1.000000,0.000000
24,1.179845,30.540000,1.907028,0.000000,0.000000,1.000000,0.000000
25,1.064035,32.960000,1.891729,0.000000,0.000000,1.000000,0.000000
26,1.210025,30.720000,1.923307,0.000000,0.000000,1.000000,0.000000
27,1.115919,33.180000,1.859682,0.000000,0.000000,1.000000,0.000000
28,1.190765,34.270000,1.888976,0.000000,0.000000,1.000000,0.000000
29,1.122761,33.740000,1.879974,0.000000,0.000000,1.000000,0.000000
30,1.027709,26.390000,1.940561,0.000000,0.000000,1.000000,0.000000
31,1.180622,33.750000,1.878448,0.000000,0.000000,1.000000,0.000000
32,1.309357,37.490000,1.844135,0.000000,0.000000,1.000000,0.000000
33,1.341826,36.330000,1.879880,0.000000,0.000000,1.000000,0.000000
34,0.992766,38.830000,1.852431,0.000000,0.000000,1.000000,0.000000
35,1.234298,34.580000,1.867792,0.000000,0.000000,1.000000,0.000000
36,1.029654,25.810000,1.939141,0.000000,0.000000,1.000000,0.000000
37,1.147110,35.970000,1.823043,0.000000,0.000000,1.000000,0.000000
38,1.434755,40.930000,1.845502,0.000000,0.000000,1.000000,0.000000
39,1.204861,32.000000,1.875316,0.000000,0.000000,1.000000,0.000000
40,1.122213,36.320000,1.848872,0.000000,0.000000,1.000000,0.000000
41,1.157051,31.470000,1.870603,0.000000,0.000000,1.000000,0.000000
42,1.145389,41.550000,1.823129,0.000000,0.000000,1.000000,0.000000
43,1.127595,34.100000,1.861861,0.000000,0.000000,1.000000,0.000000
44,1.221442,36.500000,1.823509,0.000000,0.000000,1.000000,0.000000
45,1.108359,35.870000,1.829735,0.000000,0.000000,1.000000,0.000000
46,1.153605,31.180000,1.899775,0.000000,0.000000,1.000000,0.000000
47,1.047327,34.580000,1.875088,0.000000,0.000000,1.000000,0.000000
48,1.177476,33.200000,1.858940,0.000000,0.000000,1.000000,0.000000
49,1.406643,30.770000,1.899643,0.000000,0.000000,1.000000,0.000000
50,1.167653,31.620000,1.884290,0.000000,0.000000,1.000000,0.000000
51,1.332618,38.960000,1.876348,0.000000,0.000000,1.000000,0.000000
52,1.079280,36.150000,1.862417,0.000000,0.000000,1.000000,0.000000
53,1.141944,36.220000,1.855580,0.000000,0.000000,1.000000,0.000000
54,1.246588,33.290000,1.865841,0.000000,0.000000,1.000000,0.000000
55,0.935328,32.830000,1.822604,0.000000,0.000000,1.000000,0.000000
56,1.114353,36.660000,1.820505,0.000000,0.000000,1.000000,0.000000
57,1.070141,38.030000,1.828553,0.000000,0.000000,1.000000,0.000000
58,1.184696,35.300000,1.847806,0.000000,0.000000,1.000000,0.000000
59,0.981704,32.800000,1.856282,0.000000,0.000000,1.000000,0.000000
60,1.232837,37.550000,1.852315,0.000000,0.000000,1.000000,0.000000
61,1.013771,35.430000,1.830963,0.000000,0.000000,1.000000,0.000000
62,1.190738,41.350000,1.822560,0.000000,0.000000,1.000000,0.000000
63,1.159737,39.830000,1.798281,0.000000,0.000000,1.000000,0.000000
64,0.979328,32.100000,1.846434,0.000000,0.000000,1.000000,0.000000
65,1.307086,36.080000,1.847078,0.000000,0.000000,1.000000,0.000000
66,1.282318,38.520000,1.808330,0.000000,0.000000,1.000000,0.000000
67,1.120208,42.270000,1.788457,0.000000,0.000000,1.000000,0.000000
68,1.043235,39.290000,1.787100,0.000000,0.000000,1.000000,0.000000
69,1.289361,35.260000,1.826714,0.000000,0.000000,1.000000,0.000000
70,1.074992,46.230000,1.742063,0.000000,0.000000,1.000000,0.000000
71,1.234948,29.260000,1.869142,0.000000,0.000000,1.000000,0.000000
72,1.298037,36.270000,1.829930,0.000000,0.000000,1.000000,0.000000
73,1.121712,42.150000,1.778376,0.000000,0.000000,1.000000,0.000000
74,1.095699,38.250000,1.812345,0.000000,0.000000,1.000000,0.000000
