epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,clean_ratio,agreement_ratio
0,1.167046,18.720000,2.318075,15.760000,2.353291,1.000000,0.000000
1,1.199961,20.600000,2.182739,20.000000,2.197541,1.000000,0.000000
2,1.115351,17.080000,2.229909,25.650000,2.036109,1.000000,0.000000
3,1.121940,26.050000,2.084450,30.380000,1.921889,1.000000,0.000000
4,1.223341,27.440000,2.097972,35.570000,1.793856,1.000000,0.000000
5,1.386881,24.690000,2.094428,38.800000,1.720858,1.000000,0.000000
6,1.141606,26.910000,2.044342,41.740000,1.652824,1.000000,0.000000
7,1.015495,24.630000,2.076866,44.230000,1.573844,1.000000,0.000000
8,0.862336,30.030000,1.959070,48.700000,1.455961,1.000000,0.000000
9,1.132240,27.560000,1.981029,51.490000,1.384830,1.000000,0.000000
10,1.157381,19.140000,2.166887,52.010000,1.362600,1.000000,0.000000
11,1.155629,25.870000,2.023961,54.520000,1.294004,1.000000,0.000000
12,1.237381,29.880000,1.962215,55.660000,1.245442,1.000000,0.000000
13,1.071229,25.750000,1.975073,56.670000,1.215095,1.000000,0.000000
14,0.960671,23.290000,2.032609,58.800000,1.180230,1.000000,0.000000
15,1.100752,24.680000,1.976949,61.300000,1.115790,1.000000,0.000000
16,0.936426,31.230000,1.918413,62.590000,1.085884,1.000000,0.000000
17,1.196081,35.110000,1.895905,63.580000,1.062258,1.000000,0.000000
18,1.200105,26.750000,1.971932,65.320000,1.027637,1.000000,0.000000
19,1.207482,37.160000,1.901306,66.320000,1.001094,1.000000,0.000000
20,1.018590,31.100000,1.936952,67.200000,0.975678,1.000000,0.000000
21,1.061164,39.340000,1.881092,69.260000,0.913772,1.000000,0.000000
22,1.073699,28.990000,1.980320,69.830000,0.897953,1.000000,0.000000
23,1.086543,34.370000,1.889389,69.800000,0.898824,1.000000,0.000000
24,1.088556,34.130000,1.881582,70.980000,0.871688,1.000000,0.000000
25,0.974358,34.850000,1.900950,71.450000,0.857699,1.000000,0.000000
26,1.100310,30.170000,1.904301,71.160000,0.858561,1.000000,0.000000
27,1.013861,31.860000,1.869435,73.190000,0.825621,1.000000,0.000000
28,1.094081,34.480000,1.870637,72.940000,0.815556,1.000000,0.000000
29,1.023323,35.700000,1.848045,73.530000,0.809982,1.000000,0.000000
30,0.933473,27.690000,1.920263,73.640000,0.813781,1.000000,0.000000
31,1.076898,35.440000,1.888487,74.250000,0.789949,1.000000,0.000000
32,1.205764,37.390000,1.837861,74.280000,0.780134,1.000000,0.000000
33,1.237822,35.070000,1.871660,74.620000,0.781790,1.000000,0.000000
34,0.885417,38.600000,1.824972,75.750000,0.755807,1.000000,0.000000
35,1.128837,35.290000,1.849357,75.510000,0.755053,1.000000,0.000000
36,0.947255,25.120000,1.967432,76.960000,0.730843,1.000000,0.000000
37,1.030800,32.460000,1.851834,77.410000,0.717227,1.000000,0.000000
38,1.337855,37.880000,1.853711,78.780000,0.688282,1.000000,0.000000
39,1.086197,33.360000,1.875690,79.140000,0.686973,1.000000,0.000000
40,1.017415,36.610000,1.841619,79.360000,0.673101,1.000000,0.000000
41,1.062092,29.560000,1.884084,79.270000,0.678467,1.000000,0.000000
42,1.056782,39.990000,1.842933,79.680000,0.683143,1.000000,0.000000
43,1.007351,33.550000,1.871584,80.460000,0.665999,1.000000,0.000000
44,1.104537,35.800000,1.825097,79.650000,0.669599,1.000000,0.000000
45,1.005272,39.230000,1.795523,80.230000,0.661772,1.000000,0.000000
46,1.038559,33.350000,1.860553,79.700000,0.659642,1.000000,0.000000
47,0.930979,35.930000,1.840550,79.850000,0.652373,1.000000,0.000000
48,1.080794,34.410000,1.840750,80.390000,0.650478,1.000000,0.000000
49,1.290841,32.110000,1.919502,81.010000,0.658144,1.000000,0.000000
50,1.073949,34.530000,1.863167,81.600000,0.649397,1.000000,0.000000
51,1.201057,36.790000,1.854853,81.280000,0.641662,1.000000,0.000000
52,0.984737,34.570000,1.849729,82.270000,0.627733,1.000000,0.000000
