epoch,train_loss,global_test_acc,global_test_loss,aux_apa,aux_loss,core_clean_ratio,recover_ratio,train_ratio,recovery_trigger,core_count,total_count,recover_count,train_count,actual_core_precision,actual_recover_precision,actual_train_precision,actual_train_clean_count
0,1.131415,19.670000,2.295932,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.821600,0.000000,0.821600,4108
1,1.180318,19.180000,2.195565,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.798000,0.000000,0.798000,3990
2,1.070256,17.330000,2.216765,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.811200,0.000000,0.811200,4056
3,1.092484,27.450000,2.089737,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.809600,0.000000,0.809600,4048
4,1.188790,28.320000,2.097332,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.792400,0.000000,0.792400,3962
5,1.367532,25.610000,2.082659,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.727200,0.000000,0.727200,3636
6,1.119326,26.910000,2.051766,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.801200,0.000000,0.801200,4006
7,0.981545,24.910000,2.096269,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.816400,0.000000,0.816400,4082
8,0.824173,31.080000,1.979152,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.877200,0.000000,0.877200,4386
9,1.099780,26.450000,2.000195,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.775200,0.000000,0.775200,3876
10,1.111965,21.170000,2.141579,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.788800,0.000000,0.788800,3944
11,1.105905,27.530000,1.970617,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.794000,0.000000,0.794000,3970
12,1.209735,29.280000,1.945286,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.773600,0.000000,0.773600,3868
13,1.034833,28.320000,1.954430,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.814800,0.000000,0.814800,4074
14,0.914096,26.950000,1.982187,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.849200,0.000000,0.849200,4246
15,1.056109,22.290000,1.993412,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.816000,0.000000,0.816000,4080
16,0.896718,34.920000,1.903675,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.850800,0.000000,0.850800,4254
17,1.158523,36.440000,1.884597,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.778000,0.000000,0.778000,3890
18,1.160897,29.570000,1.932863,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.763200,0.000000,0.763200,3816
19,1.167934,35.100000,1.893023,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,5000,0,5000,0.771600,0.000000,0.771600,3858
