epoch,train_loss,global_test_acc,global_test_loss,aux_apa,aux_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
61,1.236057,31.220000,1.985015,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3400,3400,0,1600,1600,0.680000,1.000000
62,1.524906,30.670000,1.995112,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2884,2884,0,2116,2116,0.576800,1.000000
63,1.426758,31.640000,1.969934,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3140,3140,0,1860,1860,0.628000,1.000000
64,1.171537,31.390000,1.941307,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3464,3464,0,1536,1536,0.692800,1.000000
65,1.620261,29.980000,2.024941,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2692,2692,0,2308,2308,0.538400,1.000000
66,1.624239,32.610000,1.974553,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2648,2648,0,2352,2352,0.529600,1.000000
67,1.457262,32.560000,1.972804,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3004,3004,0,1996,1996,0.600800,1.000000
68,1.312826,32.700000,1.973034,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3332,3332,0,1668,1668,0.666400,1.000000
69,1.611848,28.740000,2.021846,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2700,2700,0,2300,2300,0.540000,1.000000
70,1.335673,34.970000,1.931589,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3208,3208,0,1792,1792,0.641600,1.000000
71,1.547878,27.320000,1.997041,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2824,2824,0,2176,2176,0.564800,1.000000
72,1.618251,26.960000,2.028502,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2612,2612,0,2388,2388,0.522400,1.000000
73,1.450220,32.800000,1.972234,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3000,3000,0,2000,2000,0.600000,1.000000
74,1.445668,26.370000,2.023461,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2980,2980,0,2020,2020,0.596000,1.000000
75,1.182683,34.970000,1.922802,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3596,3596,0,1404,1404,0.719200,1.000000
76,1.716577,28.860000,2.017064,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2544,2544,0,2456,2456,0.508800,1.000000
77,1.111886,27.860000,2.011887,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3592,3592,0,1408,1408,0.718400,1.000000
78,1.718424,30.430000,2.002027,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2380,2380,0,2620,2620,0.476000,1.000000
79,1.238533,35.860000,1.922438,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3336,3336,0,1664,1664,0.667200,1.000000
80,1.931858,27.540000,2.054655,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,1824,1824,0,3176,3176,0.364800,1.000000
81,1.593386,29.830000,2.042585,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2576,2576,0,2424,2424,0.515200,1.000000
82,1.330446,32.290000,1.966282,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3364,3364,0,1636,1636,0.672800,1.000000
83,1.636260,28.440000,2.051507,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2552,2552,0,2448,2448,0.510400,1.000000
84,1.328204,27.170000,2.051357,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3192,3192,0,1808,1808,0.638400,1.000000
85,1.339233,27.660000,2.020464,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3024,3024,0,1976,1976,0.604800,1.000000
86,1.671382,28.160000,2.044539,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2456,2456,0,2544,2544,0.491200,1.000000
87,1.340634,26.050000,2.051349,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3204,3204,0,1796,1796,0.640800,1.000000
