epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall,recover_true_clean_count,recover_false_clean_count,recover_precision
28,1.459377,39.110000,1.959223,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15304,15304,0,9696,9696,0.612160,1.000000,0,0,0.000000
29,1.553496,34.490000,1.995028,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14700,14700,0,10300,10300,0.588000,1.000000,0,0,0.000000
30,1.530544,37.530000,1.983509,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14480,14480,0,10520,10520,0.579200,1.000000,0,0,0.000000
31,1.401645,38.290000,1.960836,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15816,15816,0,9184,9184,0.632640,1.000000,0,0,0.000000
32,1.628223,34.560000,1.983707,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,13668,13668,0,11332,11332,0.546720,1.000000,0,0,0.000000
33,1.602881,36.680000,1.989391,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,13876,13876,0,11124,11124,0.555040,1.000000,0,0,0.000000
34,1.465139,34.050000,1.985193,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15268,15268,0,9732,9732,0.610720,1.000000,0,0,0.000000
35,1.545485,36.280000,1.983039,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14476,14476,0,10524,10524,0.579040,1.000000,0,0,0.000000
36,1.439010,36.760000,1.972278,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15392,15392,0,9608,9608,0.615680,1.000000,0,0,0.000000
37,1.412750,37.760000,1.949653,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15728,15728,0,9272,9272,0.629120,1.000000,0,0,0.000000
38,1.426733,37.890000,1.952868,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15356,15356,0,9644,9644,0.614240,1.000000,0,0,0.000000
