epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall,recover_true_clean_count,recover_false_clean_count,recover_precision
28,1.529825,33.270000,1.985880,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2968,2968,0,2032,2032,0.593600,1.000000,0,0,0.000000
29,1.404957,28.500000,2.024027,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3264,3264,0,1736,1736,0.652800,1.000000,0,0,0.000000
30,1.258880,24.430000,2.030635,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3504,3504,0,1496,1496,0.700800,1.000000,0,0,0.000000
31,1.467525,30.190000,2.004698,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3148,3148,0,1852,1852,0.629600,1.000000,0,0,0.000000
32,1.660119,31.720000,1.993059,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2788,2788,0,2212,2212,0.557600,1.000000,0,0,0.000000
33,1.682316,29.130000,2.037734,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2796,2796,0,2204,2204,0.559200,1.000000,0,0,0.000000
34,1.265098,32.090000,2.004912,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3496,3496,0,1504,1504,0.699200,1.000000,0,0,0.000000
35,1.552252,29.470000,2.028558,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2908,2908,0,2092,2092,0.581600,1.000000,0,0,0.000000
36,1.294097,20.680000,2.090563,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3428,3428,0,1572,1572,0.685600,1.000000,0,0,0.000000
37,1.427200,29.760000,1.987827,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3196,3196,0,1804,1804,0.639200,1.000000,0,0,0.000000
38,1.862549,30.390000,2.037297,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2148,2148,0,2852,2852,0.429600,1.000000,0,0,0.000000
