epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,new_recover_count,recover_pool_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall,recover_true_clean_count,recover_false_clean_count,recover_precision,new_recover_true_clean_count,new_recover_false_clean_count,new_recover_precision,recover_pool_true_clean_count,recover_pool_false_clean_count,recover_pool_precision
25,1.504407,38.550000,1.960744,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15236,15236,0,9764,9764,0.609440,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
26,1.537906,38.080000,1.963099,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14680,14680,0,10320,10320,0.587200,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
27,1.458099,35.430000,1.984288,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15732,15732,0,9268,9268,0.629280,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
28,1.461195,39.220000,1.961367,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15304,15304,0,9696,9696,0.612160,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
29,1.554264,34.890000,1.996455,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14700,14700,0,10300,10300,0.588000,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
30,1.533044,37.190000,1.982920,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14480,14480,0,10520,10520,0.579200,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
31,1.402407,39.590000,1.957557,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15816,15816,0,9184,9184,0.632640,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
32,1.629337,35.530000,1.979595,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,13668,13668,0,11332,11332,0.546720,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
33,1.603940,36.700000,1.985886,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,13876,13876,0,11124,11124,0.555040,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
34,1.465540,35.100000,1.974187,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15268,15268,0,9732,9732,0.610720,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
35,1.547668,35.930000,1.983144,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14476,14476,0,10524,10524,0.579040,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
36,1.440095,37.400000,1.967026,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15392,15392,0,9608,9608,0.615680,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
37,1.414233,38.210000,1.941647,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15728,15728,0,9272,9272,0.629120,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
38,1.427874,37.890000,1.951633,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15356,15356,0,9644,9644,0.614240,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
39,1.564010,36.980000,1.971431,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14032,14032,0,10968,10968,0.561280,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
40,1.414637,37.980000,1.950948,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15744,15744,0,9256,9256,0.629760,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
41,1.474007,34.650000,1.971283,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14796,14796,0,10204,10204,0.591840,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
42,1.578261,34.910000,1.986413,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,13920,13920,0,11080,11080,0.556800,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
43,1.482838,33.600000,1.984855,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14724,14724,0,10276,10276,0.588960,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
44,1.494500,34.750000,1.978190,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14936,14936,0,10064,10064,0.597440,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
45,1.441446,37.010000,1.961413,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15328,15328,0,9672,9672,0.613120,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
46,1.473154,38.250000,1.952918,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14492,14492,0,10508,10508,0.579680,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
47,1.525101,36.150000,1.972496,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14192,14192,0,10808,10808,0.567680,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
48,1.436126,35.190000,1.955143,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15324,15324,0,9676,9676,0.612960,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
49,1.530971,35.680000,1.983485,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,14212,14212,0,10788,10788,0.568480,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
50,1.396722,35.540000,1.967496,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,0,0,25000,25000,15492,15492,0,9508,9508,0.619680,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
