epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,score_count,core_count,recover_count,new_recover_count,recover_pool_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall,recover_true_clean_count,recover_false_clean_count,recover_precision,new_recover_true_clean_count,new_recover_false_clean_count,new_recover_precision,recover_pool_true_clean_count,recover_pool_false_clean_count,recover_pool_precision
0,1.127513,20.870000,2.204838,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,25000,0,0,0,25000,25000,20184,20184,0,4816,4816,0.807360,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
1,1.192270,25.890000,2.104378,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,25000,0,0,0,25000,25000,19768,19768,0,5232,5232,0.790720,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
2,1.186696,29.690000,2.046451,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,25000,0,0,0,25000,25000,19668,19668,0,5332,5332,0.786720,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
3,1.182868,31.230000,2.013444,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,25000,0,0,0,25000,25000,19568,19568,0,5432,5432,0.782720,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
4,1.079216,33.900000,1.972746,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,25000,0,0,0,25000,25000,20342,20342,0,4658,4658,0.813680,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
5,1.092239,34.940000,1.948425,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,25000,0,0,0,25000,25000,20132,20132,0,4868,4868,0.805280,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
6,1.120525,36.670000,1.922440,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,25000,0,0,0,25000,25000,20042,20042,0,4958,4958,0.801680,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
7,1.116524,34.010000,1.931628,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,25000,0,0,0,25000,25000,19888,19888,0,5112,5112,0.795520,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
8,1.042142,37.270000,1.900938,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,25000,0,0,0,25000,25000,20562,20562,0,4438,4438,0.822480,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
9,1.126511,40.760000,1.874453,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,25000,0,0,0,25000,25000,19894,19894,0,5106,5106,0.795760,1.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000
