epoch,train_loss,selected_clients,selected_train_label_correct,local_train_acc_noisy,local_train_acc_true,local_train_loss_noisy,hc_cov_0.80,hc_acc_true_0.80,disagree_count_0.80,disagree_corr_acc_0.80,agree_count_0.80,agree_label_precision_0.80,local_holdout_acc,local_holdout_loss
43,0.240214,50,0.590100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
44,0.230194,50,0.598450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
45,0.220069,50,0.614100,95.987500,61.460000,0.189491,0.773600,69.725957,90,66.666667,30854,0.697349,62.290000,1.302085
46,0.214115,50,0.580650,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
47,0.176001,50,0.568750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
48,0.185967,50,0.613850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
49,0.179091,50,0.569400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
50,0.130334,50,0.620700,97.127500,61.115000,0.145776,0.825025,67.276749,72,70.833333,32929,0.672690,61.980000,1.352735
51,0.146643,50,0.614350,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
52,0.159315,50,0.576700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
53,0.146464,50,0.599100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
54,0.127854,50,0.620850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
55,0.125968,50,0.611600,97.960000,60.922500,0.116723,0.862975,65.691358,67,55.223881,34452,0.657117,62.730000,1.385844
56,0.128881,50,0.556050,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
57,0.113840,50,0.590900,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
58,0.104286,50,0.607350,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
59,0.106451,50,0.603050,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
60,0.096574,50,0.585700,98.770000,60.687500,0.085273,0.904700,64.015696,44,50.000000,36144,0.640328,62.500000,1.408785
61,0.084897,50,0.638550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
62,0.078311,50,0.612200,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
63,0.084572,50,0.622650,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
64,0.081566,50,0.629000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
65,0.077593,50,0.593800,98.965000,60.662500,0.071081,0.923700,63.153621,32,62.500000,36916,0.631542,62.460000,1.441060
66,0.077219,50,0.587400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
67,0.071743,50,0.580200,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
68,0.059983,50,0.613650,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
69,0.068563,50,0.562150,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
