epoch,train_loss,selected_clients,selected_train_label_correct,local_train_acc_noisy,local_train_acc_true,local_train_loss_noisy,hc_cov_0.80,hc_acc_true_0.80,disagree_count_0.80,disagree_corr_acc_0.80,agree_count_0.80,agree_label_precision_0.80,local_holdout_acc,local_holdout_loss
43,0.780475,50,0.795550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
44,0.772751,50,0.799650,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
45,0.729352,50,0.807550,75.210000,88.847500,0.768046,0.448725,98.467881,1457,82.498284,16492,0.998787,85.890000,0.508376
46,0.757716,50,0.790800,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
47,0.779998,50,0.784800,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
48,0.726140,50,0.807400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
49,0.768081,50,0.785150,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
50,0.683239,50,0.810850,75.595000,88.477500,0.743316,0.457100,98.430322,1360,81.397059,16924,0.997991,85.520000,0.522142
51,0.710796,50,0.807700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
52,0.734161,50,0.788900,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
53,0.697336,50,0.800000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
54,0.673571,50,0.810900,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
55,0.679329,50,0.806350,76.170000,88.507500,0.714784,0.474800,98.383530,1409,80.624556,17583,0.998066,85.490000,0.512946
56,0.738213,50,0.778650,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
57,0.687273,50,0.795900,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
58,0.680019,50,0.804200,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
59,0.679034,50,0.802100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
60,0.692388,50,0.793300,76.852500,88.212500,0.691685,0.482975,98.245251,1386,79.437229,17933,0.996989,85.320000,0.514208
61,0.611310,50,0.819800,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
62,0.646015,50,0.806700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
63,0.637096,50,0.811750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
64,0.624541,50,0.814950,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
65,0.659496,50,0.797350,77.275000,87.990000,0.668707,0.499125,98.287002,1366,80.893119,18599,0.995645,85.230000,0.509470
66,0.662956,50,0.794250,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
67,0.654606,50,0.790500,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
68,0.612494,50,0.807350,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
69,0.687692,50,0.781600,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
70,0.646042,50,0.792100,77.645000,87.362500,0.651082,0.505300,98.114981,1372,79.300292,18840,0.994851,84.340000,0.516040
71,0.633110,50,0.796950,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
72,0.588638,50,0.809950,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
