epoch,train_loss,personal_acc,personal_loss,selected_clients,avg_unique_labels_per_client,selected_train_label_correct
108,0.727672,14.777800,3.761074,10,1.900000,0.645600
109,0.890306,14.739000,3.770503,10,1.900000,0.544800
110,1.025604,14.713400,3.778616,10,1.900000,0.459200
111,0.946626,14.691500,3.781344,10,1.900000,0.512800
112,0.587278,14.704800,3.790518,10,1.900000,0.712000
113,0.906418,14.721100,3.797719,10,1.900000,0.420000
114,0.691800,14.692300,3.810524,10,1.900000,0.604000
115,0.847714,14.689300,3.828483,10,1.900000,0.604800
116,0.944422,14.670800,3.840206,10,1.900000,0.500800
117,0.873033,14.675700,3.849606,10,1.900000,0.522400
118,0.843857,14.642700,3.856494,10,1.900000,0.539200
119,0.586863,14.593200,3.862392,10,1.900000,0.689600
120,0.932523,14.633800,3.875010,10,1.900000,0.486400
121,0.674920,14.591300,3.883125,10,1.900000,0.555200
122,0.490961,14.614400,3.896382,10,1.900000,0.719200
123,0.672130,14.627500,3.905921,10,1.900000,0.594400
124,0.796511,14.637300,3.913180,10,1.900000,0.611200
125,0.660012,14.653600,3.927902,10,1.900000,0.589600
126,0.770627,14.617000,3.936912,10,1.900000,0.532800
127,0.513080,14.629100,3.942562,10,1.900000,0.720800
128,0.805567,14.626700,3.956857,10,1.900000,0.537600
129,0.656703,14.605700,3.978746,10,1.900000,0.596800
130,0.740995,14.567500,3.981465,10,1.900000,0.594400
131,0.696193,14.586900,3.998292,10,1.900000,0.576800
132,0.744079,14.646900,4.004591,10,1.900000,0.535200
133,0.662421,14.665300,4.016456,10,1.900000,0.568000
134,0.750746,14.658800,4.013730,10,1.900000,0.600000
135,0.739056,14.623100,4.021939,10,1.900000,0.597600
136,0.787473,14.557500,4.027918,10,1.900000,0.539200
137,0.503560,14.547700,4.029318,10,1.900000,0.676800
138,0.711753,14.518900,4.034787,10,1.900000,0.587200
139,0.589272,14.526300,4.045271,10,1.900000,0.659200
140,0.446470,14.524100,4.057465,10,1.900000,0.707200
141,0.591053,14.549600,4.072616,10,1.900000,0.660000
142,0.559721,14.566900,4.082211,10,1.900000,0.672000
143,0.582847,14.578500,4.088308,10,1.900000,0.672000
144,0.573802,14.586300,4.094236,10,1.900000,0.643200
145,0.454021,14.619200,4.108601,10,1.900000,0.659200
146,0.389390,14.577000,4.113426,10,1.900000,0.664800
147,0.530195,14.546800,4.119461,10,1.900000,0.620000
148,0.508145,14.568200,4.127681,10,1.900000,0.696000
149,0.607206,14.573500,4.130650,10,1.900000,0.592000
150,0.765655,14.565300,4.145420,10,1.900000,0.459200
151,0.634206,14.567600,4.152351,10,1.900000,0.555200
152,0.413537,14.572700,4.172828,10,1.900000,0.666400
153,0.480018,14.559300,4.182766,10,1.900000,0.654400
154,0.426105,14.543000,4.188173,10,1.900000,0.736000
155,0.626204,14.539700,4.201297,10,1.900000,0.556000
156,0.671519,14.539200,4.206551,10,1.900000,0.533600
157,0.524782,14.515300,4.220375,10,1.900000,0.679200
158,0.521308,14.524300,4.229469,10,1.900000,0.622400
159,0.520354,14.527100,4.240591,10,1.900000,0.637600
160,0.571831,14.537800,4.247308,10,1.900000,0.602400
161,0.606963,14.559100,4.258249,10,1.900000,0.516800
162,0.420523,14.501300,4.260563,10,1.900000,0.660000
163,0.380828,14.515400,4.270195,10,1.900000,0.620000
164,0.427818,14.524100,4.277988,10,1.900000,0.608000
165,0.579673,14.510800,4.282832,10,1.900000,0.517600
