epoch,train_loss,personal_apa,personal_loss,selected_clients,avg_unique_labels_per_client
0,1.135242,19.560000,2.230992,10,1.900000
1,1.173367,29.120000,1.997908,10,1.900000
2,1.074756,35.660000,1.828879,10,1.900000
3,1.081223,42.160000,1.691972,10,1.900000
4,1.181745,45.810000,1.568025,10,1.900000
5,1.333365,48.260000,1.511636,10,1.900000
6,1.075387,50.280000,1.445324,10,1.900000
7,0.953978,53.370000,1.365342,10,1.900000
8,0.793612,57.500000,1.268680,10,1.900000
9,1.069096,60.910000,1.204594,10,1.900000
10,1.069770,60.400000,1.196021,10,1.900000
11,1.084037,63.250000,1.123468,10,1.900000
12,1.164041,65.790000,1.072451,10,1.900000
13,0.976555,66.760000,1.048485,10,1.900000
14,0.872602,67.980000,1.010460,10,1.900000
15,1.033379,71.010000,0.934076,10,1.900000
16,0.842525,71.920000,0.899822,10,1.900000
17,1.098203,73.140000,0.877588,10,1.900000
18,1.111766,75.050000,0.839378,10,1.900000
19,1.106158,76.620000,0.814495,10,1.900000
20,0.928506,77.240000,0.792234,10,1.900000
21,0.979309,79.670000,0.728628,10,1.900000
22,0.953550,80.340000,0.710154,10,1.900000
23,0.957963,80.460000,0.713759,10,1.900000
24,0.974006,81.110000,0.702478,10,1.900000
25,0.862872,81.630000,0.690364,10,1.900000
26,0.964217,81.720000,0.684195,10,1.900000
27,0.894408,82.700000,0.659903,10,1.900000
28,0.968579,81.980000,0.651203,10,1.900000
29,0.897607,82.450000,0.645658,10,1.900000
30,0.803758,82.900000,0.638902,10,1.900000
31,0.953675,82.980000,0.626840,10,1.900000
32,1.076577,83.680000,0.615399,10,1.900000
33,1.110067,83.630000,0.618065,10,1.900000
34,0.770567,84.410000,0.595640,10,1.900000
35,0.996059,84.200000,0.598443,10,1.900000
36,0.820012,85.250000,0.572082,10,1.900000
37,0.890579,85.520000,0.560093,10,1.900000
38,1.222925,86.470000,0.542129,10,1.900000
39,0.934285,86.700000,0.539243,10,1.900000
40,0.875424,86.950000,0.527686,10,1.900000
41,0.933158,87.050000,0.525463,10,1.900000
42,0.908744,87.330000,0.531745,10,1.900000
43,0.869371,87.250000,0.520162,10,1.900000
44,0.941900,87.180000,0.519434,10,1.900000
45,0.845569,87.020000,0.519910,10,1.900000
46,0.895820,87.290000,0.512077,10,1.900000
47,0.781872,87.330000,0.508599,10,1.900000
48,0.952436,86.710000,0.511475,10,1.900000
49,1.122727,87.520000,0.505184,10,1.900000
50,0.935346,87.330000,0.494734,10,1.900000
51,1.019003,87.280000,0.497940,10,1.900000
52,0.857715,87.370000,0.497216,10,1.900000
53,0.889300,87.230000,0.498521,10,1.900000
54,0.990932,87.480000,0.497955,10,1.900000
55,0.691726,87.340000,0.495549,10,1.900000
56,0.848515,88.090000,0.483767,10,1.900000
57,0.805217,88.240000,0.478010,10,1.900000
58,0.884702,88.210000,0.477667,10,1.900000
59,0.733369,88.230000,0.471858,10,1.900000
60,0.924770,88.100000,0.477988,10,1.900000
61,0.738377,87.940000,0.477017,10,1.900000
62,0.884406,88.070000,0.480919,10,1.900000
63,0.840082,88.510000,0.475074,10,1.900000
64,0.716279,87.700000,0.476300,10,1.900000
65,0.960689,88.410000,0.477287,10,1.900000
66,0.952212,87.900000,0.481309,10,1.900000
67,0.845245,87.850000,0.476426,10,1.900000
68,0.764981,88.170000,0.468689,10,1.900000
69,0.970123,87.910000,0.474057,10,1.900000
70,0.791456,88.180000,0.471120,10,1.900000
71,0.929018,88.240000,0.471681,10,1.900000
72,0.964275,87.860000,0.477898,10,1.900000
73,0.817802,88.010000,0.475610,10,1.900000
74,0.802597,87.880000,0.476865,10,1.900000
75,0.668524,87.810000,0.475358,10,1.900000
76,1.022144,87.840000,0.480679,10,1.900000
77,0.631169,88.450000,0.467966,10,1.900000
78,1.024160,87.880000,0.475994,10,1.900000
79,0.681603,87.870000,0.474001,10,1.900000
80,1.191559,88.180000,0.469016,10,1.900000
81,0.946427,88.170000,0.473078,10,1.900000
82,0.748480,88.020000,0.473511,10,1.900000
83,0.937807,87.980000,0.478027,10,1.900000
84,0.742392,87.760000,0.479751,10,1.900000
85,0.757227,87.780000,0.478401,10,1.900000
86,0.958747,88.210000,0.473665,10,1.900000
87,0.765612,88.090000,0.474456,10,1.900000
88,0.734558,87.980000,0.467141,10,1.900000
89,0.883948,87.850000,0.474316,10,1.900000
90,0.617227,87.970000,0.477991,10,1.900000
91,0.781765,87.810000,0.475164,10,1.900000
92,0.838704,88.010000,0.478899,10,1.900000
93,0.647986,88.210000,0.474046,10,1.900000
94,0.882065,88.310000,0.469802,10,1.900000
95,0.447127,88.180000,0.467779,10,1.900000
96,0.548146,88.630000,0.460668,10,1.900000
97,1.019075,87.560000,0.471739,10,1.900000
98,0.683936,88.040000,0.470061,10,1.900000
99,0.547980,88.330000,0.465322,10,1.900000
