epoch,train_loss,personal_apa,personal_loss,selected_clients,avg_unique_labels_per_client
0,1.654087,23.060000,2.140536,10,4.130000
1,1.471495,31.260000,1.919492,10,4.130000
2,1.455856,34.800000,1.820503,10,4.130000
3,1.399187,41.720000,1.671988,10,4.130000
4,1.522871,45.280000,1.590481,10,4.130000
5,1.319069,47.890000,1.525008,10,4.130000
6,1.394003,51.420000,1.456839,10,4.130000
7,1.235663,52.740000,1.438085,10,4.130000
8,1.345206,54.490000,1.390610,10,4.130000
9,1.353107,55.910000,1.347924,10,4.130000
10,1.174762,58.010000,1.300304,10,4.130000
11,1.273881,59.090000,1.270190,10,4.130000
12,1.235084,60.210000,1.236736,10,4.130000
13,1.376609,61.180000,1.215802,10,4.130000
14,1.307502,61.480000,1.201923,10,4.130000
15,1.288956,63.260000,1.162209,10,4.130000
16,1.217483,64.150000,1.114921,10,4.130000
17,1.281894,65.870000,1.077511,10,4.130000
18,1.303669,66.850000,1.060960,10,4.130000
19,1.280858,67.370000,1.034351,10,4.130000
20,1.271590,67.850000,1.022243,10,4.130000
21,1.226391,68.350000,1.008507,10,4.130000
22,1.100608,68.150000,1.005344,10,4.130000
23,1.185506,69.110000,0.986343,10,4.130000
24,0.930095,70.420000,0.958475,10,4.130000
25,1.277367,71.120000,0.940992,10,4.130000
26,1.068270,71.490000,0.922087,10,4.130000
27,1.232064,72.360000,0.910186,10,4.130000
28,1.018700,72.900000,0.892411,10,4.130000
29,1.071490,72.050000,0.887587,10,4.130000
30,1.089761,72.920000,0.867994,10,4.130000
31,1.178149,72.960000,0.871722,10,4.130000
32,1.195409,73.300000,0.869198,10,4.130000
33,1.167778,73.720000,0.860998,10,4.130000
34,1.144348,73.720000,0.857052,10,4.130000
35,1.072597,73.950000,0.855405,10,4.130000
36,1.346032,73.910000,0.863030,10,4.130000
37,1.251354,74.000000,0.855014,10,4.130000
38,0.908154,74.450000,0.837757,10,4.130000
39,1.086418,75.340000,0.816487,10,4.130000
40,1.046421,75.120000,0.816004,10,4.130000
41,1.080835,75.280000,0.811894,10,4.130000
42,1.179836,75.090000,0.806772,10,4.130000
43,1.114806,75.850000,0.800133,10,4.130000
44,1.032158,75.490000,0.798709,10,4.130000
45,0.994730,76.340000,0.788585,10,4.130000
46,1.157875,76.060000,0.787564,10,4.130000
47,1.060910,76.010000,0.791580,10,4.130000
48,1.119230,75.830000,0.786358,10,4.130000
49,1.001286,75.860000,0.794235,10,4.130000
50,1.272194,75.880000,0.790561,10,4.130000
51,1.018550,75.710000,0.794838,10,4.130000
52,1.135352,75.920000,0.778506,10,4.130000
53,0.998156,76.270000,0.779473,10,4.130000
54,1.046288,76.620000,0.770398,10,4.130000
55,1.088081,76.060000,0.778567,10,4.130000
56,1.117900,75.700000,0.777214,10,4.130000
57,1.139090,76.340000,0.773065,10,4.130000
58,1.049536,76.360000,0.770574,10,4.130000
59,1.046732,76.700000,0.771329,10,4.130000
60,1.078649,76.340000,0.768222,10,4.130000
61,0.999090,76.720000,0.763769,10,4.130000
62,0.923624,76.740000,0.767600,10,4.130000
63,1.105635,76.710000,0.758679,10,4.130000
64,1.049109,76.570000,0.764414,10,4.130000
65,0.817666,76.460000,0.756810,10,4.130000
66,0.857577,76.910000,0.758543,10,4.130000
67,1.017241,77.280000,0.744255,10,4.130000
68,0.910764,76.890000,0.746563,10,4.130000
69,1.117394,77.540000,0.735968,10,4.130000
70,0.858465,77.310000,0.736144,10,4.130000
71,1.035564,77.470000,0.738723,10,4.130000
72,1.128683,76.710000,0.750104,10,4.130000
73,0.942486,77.380000,0.737068,10,4.130000
74,0.859007,77.890000,0.731405,10,4.130000
75,0.998089,77.290000,0.745031,10,4.130000
76,1.124839,77.240000,0.735942,10,4.130000
77,1.106634,77.320000,0.730978,10,4.130000
78,0.895928,77.370000,0.732140,10,4.130000
79,0.995615,77.340000,0.735987,10,4.130000
80,0.914114,77.690000,0.730787,10,4.130000
81,1.041702,77.320000,0.735345,10,4.130000
82,0.817560,77.700000,0.726165,10,4.130000
83,0.935973,77.370000,0.731374,10,4.130000
84,0.968895,77.690000,0.721247,10,4.130000
85,0.924735,77.900000,0.721792,10,4.130000
86,0.836033,77.130000,0.735571,10,4.130000
87,1.050153,77.260000,0.733684,10,4.130000
88,1.001817,77.510000,0.731082,10,4.130000
89,0.929452,77.400000,0.726666,10,4.130000
90,0.824451,77.720000,0.738550,10,4.130000
91,0.788910,77.620000,0.719094,10,4.130000
92,0.951389,77.610000,0.727291,10,4.130000
