Experiment Start: 20260616-230210
Args: Namespace(method='default', epochs=500, num_users=100, frac=0.1, local_ep=5, local_bs=50, bs=128, lr=0.01, momentum=0.5, split='user', schedule=[], lr_decay=0.1, weight_decay=0, partition='shard', dd_alpha=0.5, num_shards=200, fed_method='fedavg', model='cnn4conv', dataset='cifar10', iid=False, num_classes=10, num_channels=3, gpu=0, verbose=False, seed=1, all_clients=False, num_workers=4, noise_type_lst=['symmetric'], noise_group_num=[100], group_noise_rate=[0.4], warmup_epochs=100, queue_size=15, forget_rate=0.2, uncertainty_threshold=0.05, alpha=1.2, beta=0.8, labeling='soft', mm_alpha=4, lambda_u=25, T=0.5, p_threshold=0.5, num_neighbors=2, w_alpha=0.5, device=device(type='cuda', index=0), send_2_models=False)
================================================================================

round,train_acc,train_loss,test_acc,test_loss,local_update_loss,time_sec
76,24.088000,2.143919,31.410000,2.007080,1.569491,525.34
77,21.992000,2.192636,27.830000,2.065554,1.535883,531.93
78,21.610000,2.173224,27.860000,2.034215,1.541872,538.96
79,23.158000,2.173037,28.770000,2.051002,1.521871,545.57
80,23.528000,2.166117,30.130000,2.031589,1.542231,552.74
81,23.726000,2.163960,31.160000,2.021901,1.537905,559.41
82,23.110000,2.154432,29.450000,2.024910,1.539571,566.09
83,21.968000,2.187951,27.480000,2.077497,1.533225,573.17
84,22.734000,2.180685,29.740000,2.048493,1.522311,579.83
85,21.210000,2.185273,25.710000,2.080099,1.506289,586.97
86,22.188000,2.155457,28.210000,2.020772,1.500503,593.61
87,20.488000,2.188811,24.920000,2.086320,1.526876,600.67
88,21.648000,2.185585,26.170000,2.051835,1.503240,607.37
89,21.396000,2.176875,25.770000,2.071096,1.542611,614.54
90,21.864000,2.199657,26.860000,2.101899,1.496039,621.16
91,20.684000,2.197931,24.200000,2.107142,1.489291,628.11
92,19.548000,2.227795,20.940000,2.162023,1.511331,634.70
93,20.210000,2.213267,23.450000,2.131108,1.536786,641.48
94,22.348000,2.161964,27.070000,2.052276,1.531300,648.22
95,22.106000,2.188908,27.650000,2.065216,1.494058,654.81
