0, 1.814435, 2.396382, 13.450000
1, 1.802921, 2.131243, 21.780000
2, 1.877629, 2.004220, 26.890000
3, 1.787856, 1.906918, 32.530000
4, 1.707616, 1.831077, 36.210000
5, 1.762489, 1.752720, 39.740000
6, 1.859321, 1.698529, 42.270000
7, 1.775447, 1.669202, 44.070000
8, 1.784670, 1.619240, 46.700000
9, 1.733903, 1.578051, 49.500000
10, 1.730800, 1.540565, 50.360000
11, 1.707201, 1.484040, 52.640000
12, 1.727468, 1.450082, 54.000000
13, 1.686718, 1.419352, 56.580000
14, 1.678757, 1.417546, 57.080000
15, 1.675537, 1.390228, 58.220000
16, 1.627576, 1.369215, 58.880000
17, 1.656283, 1.343574, 60.940000
18, 1.636148, 1.312918, 61.210000
19, 1.602952, 1.309420, 61.260000
20, 1.595326, 1.299104, 62.220000
21, 1.643184, 1.296377, 62.950000
22, 1.653609, 1.288426, 62.570000
23, 1.676464, 1.286594, 63.010000
24, 1.609256, 1.251855, 64.400000
25, 1.591090, 1.242222, 64.740000
26, 1.611795, 1.233713, 64.760000
27, 1.609653, 1.235007, 64.110000
28, 1.588030, 1.230062, 65.060000
29, 1.565313, 1.205150, 65.900000
30, 1.528932, 1.213644, 65.370000
31, 1.553461, 1.218598, 65.330000
32, 1.581385, 1.206770, 65.490000
33, 1.630716, 1.197146, 66.150000
34, 1.467135, 1.201096, 65.900000
35, 1.639488, 1.182955, 66.220000
36, 1.639752, 1.185819, 66.330000
37, 1.583254, 1.184740, 66.530000
38, 1.507076, 1.184033, 66.870000
39, 1.545228, 1.178859, 66.680000
40, 1.576482, 1.174416, 66.790000
41, 1.638841, 1.162981, 67.180000
42, 1.596477, 1.176183, 66.850000
43, 1.562031, 1.164927, 66.950000
44, 1.539949, 1.166180, 66.970000
45, 1.491429, 1.161050, 67.010000
46, 1.508042, 1.159459, 66.730000
47, 1.496894, 1.169922, 66.610000
48, 1.560363, 1.163501, 66.500000
49, 1.536840, 1.158001, 66.360000
50, 1.526881, 1.162925, 66.480000
51, 1.474038, 1.153420, 67.150000
52, 1.487025, 1.161376, 67.140000
53, 1.551764, 1.163940, 66.680000
54, 1.561650, 1.157014, 66.690000
55, 1.450850, 1.139944, 67.120000
56, 1.488938, 1.138358, 67.440000
57, 1.526973, 1.152786, 66.960000
58, 1.491135, 1.151919, 67.300000
59, 1.432298, 1.144515, 66.760000
60, 1.501712, 1.150324, 66.710000
61, 1.407007, 1.147329, 66.990000
62, 1.395325, 1.148326, 66.990000
63, 1.428598, 1.141374, 67.380000
64, 1.381281, 1.153476, 66.590000
65, 1.416793, 1.146751, 66.720000
66, 1.429845, 1.144050, 67.220000
67, 1.479050, 1.137494, 66.810000
68, 1.386914, 1.134135, 66.630000
69, 1.554846, 1.126798, 67.570000
70, 1.520394, 1.131181, 67.090000
71, 1.406839, 1.140415, 66.550000
72, 1.429622, 1.139475, 66.530000
73, 1.351849, 1.131612, 66.720000
74, 1.500962, 1.133969, 66.350000
75, 1.466851, 1.139092, 66.250000
76, 1.401739, 1.131660, 66.630000
77, 1.393932, 1.133945, 67.050000
78, 1.363970, 1.129919, 66.600000
79, 1.416386, 1.129231, 66.660000
80, 0.646846, 1.107061, 66.750000
81, 0.721772, 1.022443, 68.690000
82, 0.663819, 1.018769, 68.500000
83, 0.722536, 0.980171, 68.630000
84, 0.582178, 0.939352, 69.320000
85, 0.496455, 0.930624, 69.640000
86, 0.594683, 0.891321, 70.350000
87, 0.691376, 0.883325, 70.290000
88, 0.652987, 0.882767, 70.250000
89, 0.686272, 0.872973, 69.850000
90, 0.651489, 0.846101, 70.880000
91, 0.521104, 0.851683, 70.930000
92, 0.538928, 0.834681, 71.010000
93, 0.681804, 0.821412, 71.530000
94, 0.611193, 0.820915, 71.440000
95, 0.647498, 0.813464, 71.210000
96, 0.621889, 0.820523, 70.660000
97, 0.606050, 0.797583, 71.670000
98, 0.433153, 0.801179, 72.000000
99, 0.589273, 0.802074, 71.940000
100, 0.619671, 0.797877, 72.160000
101, 0.677843, 0.803268, 71.510000
102, 0.631815, 0.787753, 72.530000
103, 0.641023, 0.787747, 72.130000
104, 0.538180, 0.795129, 71.680000
105, 0.403684, 0.780847, 72.310000
106, 0.618763, 0.764954, 73.230000
107, 0.443712, 0.773476, 72.410000
108, 0.717235, 0.770357, 73.050000
109, 0.562109, 0.795114, 71.310000
110, 0.498561, 0.783151, 71.850000
111, 0.603409, 0.782644, 72.360000
112, 0.499440, 0.775217, 72.270000
113, 0.478109, 0.771524, 72.780000
114, 0.553918, 0.774330, 72.600000
115, 0.515034, 0.786415, 71.820000
116, 0.476689, 0.779016, 72.340000
117, 0.530565, 0.779766, 72.350000
118, 0.498703, 0.769247, 72.400000
119, 0.563875, 0.778556, 72.680000
120, 0.570779, 0.777855, 72.220000
121, 0.498771, 0.789816, 71.840000
122, 0.780894, 0.796915, 71.750000
123, 0.559800, 0.805082, 71.550000
124, 0.467208, 0.801171, 71.410000
125, 0.609345, 0.801516, 71.530000
126, 0.521281, 0.807359, 71.480000
127, 0.545245, 0.792116, 71.930000
128, 0.635378, 0.784365, 72.510000
129, 0.599096, 0.794643, 72.250000
130, 0.554057, 0.789533, 72.180000
131, 0.645941, 0.793103, 71.770000
132, 0.473964, 0.787295, 71.900000
133, 0.543854, 0.792756, 71.810000
134, 0.457283, 0.793840, 72.480000
135, 0.659947, 0.792796, 72.190000
136, 0.492641, 0.794028, 72.270000
137, 0.500621, 0.798394, 72.220000
138, 0.572941, 0.810386, 72.050000
139, 0.582035, 0.817362, 71.240000
140, 0.588968, 0.807287, 71.660000
141, 0.487972, 0.807569, 71.420000
142, 0.641203, 0.823313, 71.130000
143, 0.318730, 0.814389, 71.560000
144, 0.652925, 0.804685, 71.780000
145, 0.634231, 0.805741, 71.790000
146, 0.643974, 0.830165, 70.620000
147, 0.503759, 0.816572, 71.230000
148, 0.522763, 0.810852, 71.770000
149, 0.520591, 0.817458, 71.360000
150, 0.572542, 0.809929, 71.770000
151, 0.491109, 0.823122, 71.550000
152, 0.477434, 0.819256, 71.130000
153, 0.366510, 0.829556, 70.840000
154, 0.510287, 0.824855, 71.230000
155, 0.550177, 0.813985, 71.360000
156, 0.549029, 0.817982, 71.340000
157, 0.457871, 0.815255, 72.020000
158, 0.460754, 0.835607, 71.280000
159, 0.584701, 0.828837, 71.060000
160, 0.482729, 0.823762, 71.320000
161, 0.441233, 0.813479, 71.780000
162, 0.483467, 0.823191, 70.920000
163, 0.472607, 0.814102, 72.010000
