epoch,train_loss,global_test_acc,global_test_loss,correction_apa,correction_loss,core_ratio,recover_clean_ratio,corrected_ratio,net1_train_ratio,correction_trigger,core_count,recover_clean_count,corrected_count,net1_return_count,net1_train_count,net2_train_count,total_count,actual_net1_label_correct_count,actual_round_clean_count,selected_original_clean_count,missed_clean_count,false_train_label_count,correction_correct_count,correction_false_count,persistent_update_count,correction_acc,agg_weight_sum,actual_net1_label_correct_ratio,orig_clean_recall
23,1.458532,33.080000,2.017027,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15352,15352,15352,0,9648,0,0,0,0.000000,25000.000000,0.614080,1.000000
24,1.508089,34.650000,1.992837,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14924,14924,14924,0,10076,0,0,0,0.000000,25000.000000,0.596960,1.000000
25,1.510506,34.770000,2.001311,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15236,15236,15236,0,9764,0,0,0,0.000000,25000.000000,0.609440,1.000000
26,1.541075,33.400000,2.000498,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14680,14680,14680,0,10320,0,0,0,0.000000,25000.000000,0.587200,1.000000
27,1.461108,32.420000,2.012825,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15732,15732,15732,0,9268,0,0,0,0.000000,25000.000000,0.629280,1.000000
28,1.471132,33.870000,1.996682,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15304,15304,15304,0,9696,0,0,0,0.000000,25000.000000,0.612160,1.000000
29,1.560806,30.610000,2.029166,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14700,14700,14700,0,10300,0,0,0,0.000000,25000.000000,0.588000,1.000000
30,1.539829,32.890000,2.007978,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14480,14480,14480,0,10520,0,0,0,0.000000,25000.000000,0.579200,1.000000
31,1.412280,34.370000,1.988447,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15816,15816,15816,0,9184,0,0,0,0.000000,25000.000000,0.632640,1.000000
32,1.638202,33.080000,2.003514,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,13668,13668,13668,0,11332,0,0,0,0.000000,25000.000000,0.546720,1.000000
33,1.611220,32.380000,2.017203,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,13876,13876,13876,0,11124,0,0,0,0.000000,25000.000000,0.555040,1.000000
34,1.472870,31.740000,2.022504,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15268,15268,15268,0,9732,0,0,0,0.000000,25000.000000,0.610720,1.000000
35,1.555961,33.230000,2.010318,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14476,14476,14476,0,10524,0,0,0,0.000000,25000.000000,0.579040,1.000000
36,1.445761,33.910000,1.987414,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15392,15392,15392,0,9608,0,0,0,0.000000,25000.000000,0.615680,1.000000
37,1.421291,34.350000,1.976000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15728,15728,15728,0,9272,0,0,0,0.000000,25000.000000,0.629120,1.000000
38,1.433573,35.550000,1.971220,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15356,15356,15356,0,9644,0,0,0,0.000000,25000.000000,0.614240,1.000000
39,1.570962,33.140000,2.002272,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14032,14032,14032,0,10968,0,0,0,0.000000,25000.000000,0.561280,1.000000
40,1.428419,33.780000,1.995664,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15744,15744,15744,0,9256,0,0,0,0.000000,25000.000000,0.629760,1.000000
41,1.485797,32.360000,1.998421,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14796,14796,14796,0,10204,0,0,0,0.000000,25000.000000,0.591840,1.000000
42,1.584961,32.870000,2.017015,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,13920,13920,13920,0,11080,0,0,0,0.000000,25000.000000,0.556800,1.000000
43,1.490405,32.130000,2.007540,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14724,14724,14724,0,10276,0,0,0,0.000000,25000.000000,0.588960,1.000000
44,1.500306,33.800000,1.990437,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14936,14936,14936,0,10064,0,0,0,0.000000,25000.000000,0.597440,1.000000
45,1.449863,33.670000,1.993110,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15328,15328,15328,0,9672,0,0,0,0.000000,25000.000000,0.613120,1.000000
46,1.483194,34.240000,1.985188,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14492,14492,14492,0,10508,0,0,0,0.000000,25000.000000,0.579680,1.000000
47,1.537162,32.260000,2.008741,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14192,14192,14192,0,10808,0,0,0,0.000000,25000.000000,0.567680,1.000000
48,1.447103,34.520000,1.985517,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15324,15324,15324,0,9676,0,0,0,0.000000,25000.000000,0.612960,1.000000
49,1.534763,33.000000,2.007218,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14212,14212,14212,0,10788,0,0,0,0.000000,25000.000000,0.568480,1.000000
50,1.408651,33.500000,1.981409,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15492,15492,15492,0,9508,0,0,0,0.000000,25000.000000,0.619680,1.000000
51,1.430240,32.900000,1.989389,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15336,15336,15336,0,9664,0,0,0,0.000000,25000.000000,0.613440,1.000000
52,1.502994,33.600000,1.979632,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14392,14392,14392,0,10608,0,0,0,0.000000,25000.000000,0.575680,1.000000
53,1.430952,32.170000,1.984422,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14952,14952,14952,0,10048,0,0,0,0.000000,25000.000000,0.598080,1.000000
54,1.408125,33.560000,1.978680,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15496,15496,15496,0,9504,0,0,0,0.000000,25000.000000,0.619840,1.000000
55,1.429684,33.780000,1.974322,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15264,15264,15264,0,9736,0,0,0,0.000000,25000.000000,0.610560,1.000000
56,1.552577,34.050000,1.979049,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,13876,13876,13876,0,11124,0,0,0,0.000000,25000.000000,0.555040,1.000000
57,1.465020,31.690000,1.993899,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14744,14744,14744,0,10256,0,0,0,0.000000,25000.000000,0.589760,1.000000
58,1.457439,33.770000,1.992270,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15160,15160,15160,0,9840,0,0,0,0.000000,25000.000000,0.606400,1.000000
59,1.446928,31.940000,2.000039,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15052,15052,15052,0,9948,0,0,0,0.000000,25000.000000,0.602080,1.000000
60,1.499222,31.730000,1.998187,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14616,14616,14616,0,10384,0,0,0,0.000000,25000.000000,0.584640,1.000000
61,1.346878,35.010000,1.959528,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15940,15940,15940,0,9060,0,0,0,0.000000,25000.000000,0.637600,1.000000
62,1.409246,32.940000,1.974116,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15280,15280,15280,0,9720,0,0,0,0.000000,25000.000000,0.611200,1.000000
63,1.400973,34.090000,1.964247,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15544,15544,15544,0,9456,0,0,0,0.000000,25000.000000,0.621760,1.000000
64,1.386551,33.900000,1.965898,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15700,15700,15700,0,9300,0,0,0,0.000000,25000.000000,0.628000,1.000000
65,1.443343,33.920000,1.963802,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14820,14820,14820,0,10180,0,0,0,0.000000,25000.000000,0.592800,1.000000
66,1.471177,33.430000,1.974881,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14660,14660,14660,0,10340,0,0,0,0.000000,25000.000000,0.586400,1.000000
67,1.486254,32.240000,1.989555,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14476,14476,14476,0,10524,0,0,0,0.000000,25000.000000,0.579040,1.000000
68,1.387775,34.230000,1.966955,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15316,15316,15316,0,9684,0,0,0,0.000000,25000.000000,0.612640,1.000000
69,1.525614,33.850000,1.985627,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14028,14028,14028,0,10972,0,0,0,0.000000,25000.000000,0.561120,1.000000
70,1.465402,33.230000,1.981927,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14556,14556,14556,0,10444,0,0,0,0.000000,25000.000000,0.582240,1.000000
71,1.441985,33.240000,1.974768,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,14796,14796,14796,0,10204,0,0,0,0.000000,25000.000000,0.591840,1.000000
72,1.377425,33.980000,1.948747,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0,25000,0,0,0,25000,25000,25000,15448,15448,15448,0,9552,0,0,0,0.000000,25000.000000,0.617920,1.000000
